jeune,young,youthful,new,juvenile,immature,fresh
pouvoir,to be able to,to want,to know,to have,to go,to do
suivre un chemin,to follow a path,to walk route,to track way,to pursue trail,to go along,to continue course
risquer sa vie,to risk one's life,to venture existence,to chance being,to endanger self,to hazard person,to gamble body
risquer,to risk,to venture,to chance,to endanger,to hazard,to gamble
estimer la valeur,to estimate the value,to value worth,to assess price,to reckon cost,to appreciate amount,to prize total
estimer,to estimate,to value,to assess,to reckon,to appreciate,to prize
encourager un enfant,to encourage a child,to urge kid,to promote youth,to inspire young,to stimulate little,to cheer small
encourager,to encourage,to urge,to promote,to inspire,to stimulate,to cheer
ouvrir,to open,to unlock,to start,to unfold,to reveal,to inaugurate
compter les moutons,to count sheep,to try fall asleep,to use trick for sleep,to imagine animals,to relax mind,to prepare rest
juger une situation,to judge a situation,to try circumstance,to deem condition,to consider context,to estimate scene,to decide case
goûter,to taste,to try,to sample,to savor,to experience,to enjoy
juger,to judge,to try,to deem,to consider,to estimate,to decide
réfléchir avant d'agir,to think over before acting,to think prior move,to ponder prior deed,to consider before do,to meditate prior action,to contemplate prior step
croire,to believe,to think,to trust,to suppose,to credit,to accept
réfléchir,to think over,to ponder,to consider,to meditate,to contemplate
dire,to say,to tell,to ask,to do,to make,to speak
dire,to say,to tell,to speak,to state,to declare,to mention
apprendre,to learn,to teach,to hear,to find out,to memorize,to study
parler,to speak,to talk,to say,to tell,to ask,to call
emprunter un livre,to borrow a book,to take volume,to copy text,to mimic story,to adopt tale,to assume narrative
enlever une veste,to remove a jacket,to take off coat,to strip layer,to discard clothing,to clear garment,to shed outerwear
se déshabiller,to undress,to take off clothes,to remove outfit,to strip,to disrobe,to prepare for bed
enlever,to remove,to take off,to take away,to kidnap,to strip,to clear
ramener un ami,to bring back a friend,to take back companion,to reduce buddy,to lead companion,to restore pal,to recall mate
ramener,to bring back,to take back,to reduce,to lead back,to restore,to recall
donner,to give,to take,to bring,to make,to do,to say
emprunter,to borrow,to take,to copy,to mimic,to adopt,to assume
soutenir une idée,to support an idea,to sustain thought,to back concept,to uphold notion,to maintain plan,to bear proposal
soutenir,to support,to sustain,to back,to uphold,to maintain,to bear
imaginer un monde,to imagine a world,to suppose realm,to fancy universe,to visualize planet,to conceive domain,to think sphere
imaginer,to imagine,to suppose,to fancy,to visualize,to conceive,to think
réussir son examen,to pass the exam,to succeed in test,to do well on test,to fail the test,to win the game,to achieve the goal
se coiffer,to do hair,to style hair,to comb,to brush hair,to arrange hairstyle,to fix look
apprendre une langue,to learn a language,to study language,to practice words,to master tongue,to acquire speech,to improve communication
marcher dans la ville,to walk in the city,to stroll through town,to explore streets,to wander urban area,to move on foot,to discover city
empêcher un accident,to prevent an accident,to stop mishap,to hinder crash,to block incident,to impede event,to avert disaster
empêcher,to prevent,to stop,to hinder,to block,to impede,to avert
voler,to fly,to steal,to rob,to soar,to glide,to pilfer
diviser le gâteau,to divide the cake,to split dessert,to share sweet,to cut portion,to distribute treat,to separate piece
diviser,to divide,to split,to share,to separate,to distribute,to classify
prendre un bain,to take a bath,to soak in tub,to relax in water,to bathe slowly,to enjoy warm water,to unwind
pleuvoir,to rain,to snow,to storm,to pour,to drizzle,to fall
rire,to laugh,make a joke,to mock,to chuckle,to giggle
sentir,to feel,to smell,to sense,to perceive,to detect,to notice
casser un verre,to break a glass,to smash cup,to shatter item,to crack object,to destroy container,to split material
casser,to break,to smash,to snap,to burst,to fail,to spoil
couper un fruit,to cut a fruit,to slice produce,to chop food,to divide item,to prepare meal,to section edible
couper,to cut,to slice,to trim,to chop,to interrupt,to reduce
se coucher tard,to go to bed late,to sleep late,to stay up late,to retire late,to turn in late,to rest late
dessiner,to draw,to sketch,to design,to outline,to depict,to plan
fermer,to close,to shut,to lock,to end,to conclude,to seal
pousser une porte,to push a door,to shove entrance,to press panel,to open by force,to move barrier,to advance access
pousser,to push,to shove,to urge,to promote,to grow,to encourage
bouger,to move,to shift,to stir,to budge,to change,to go
augmenter,increase,add,additional,adjustment,lift off,sharp,
payer une facture,to pay a bill,to settle invoice,to reward account,to suffer charge,to yield cost,to compensate debt
payer,to pay,to settle,to reward,to suffer,to yield,to compensate
acheter,to buy,to sell,to take,to get,to have,to give
choisir,to choose,to select,to pick,to decide,to elect,to opt
visiter un musée,to visit a museum,to see exhibition,to explore gallery,to view art,to discover history,to walk through collection
regarder un film,to watch a movie,to see a film,to view movie,to enjoy cinema,to watch screen,to follow story
lire,to read,to see,to write,to study,to learn,to speak
chercher,to look for,to search,to seek,to hunt,to try,to check
saluer un voisin,to greet a neighbor,to salute local,to wave to resident,to hail nearby,to address close,to welcome adjacent
saluer,to greet,to salute,to wave,to hail,to address,to welcome
tourner,to turn,to rotate,to spin,to twist,to change,to film
se lever tôt,to get up early,to rise early,to wake early,to start day early,to leave bed early,to begin morning
critiquer un film,to criticize a movie,to review cinema,to censure picture,to judge film,to find fault screen,to comment production
critiquer,to criticize,to review,to censure,to judge,to find fault,to comment
garder,to keep,to retain,to hold,to save,to preserve,to maintain
limiter,to limit,to restrict,to bound,to confine,to reduce,to cap
dormir,to sleep,to rest,to lie,to stay,to go,to wake
sauver une vie,to save a life,to rescue being,to preserve existence,to protect soul,to spare person,to deliver individual
sauver,to save,to rescue,to preserve,to protect,to spare,to deliver
demander,to ask,to request,to inquire,to demand,to require,to beg
donner une réponse,to give an answer,to reply,to respond,to provide solution,to explain,to clarify
répondre,to answer,to reply,to respond,to react,to correspond,to match
louer,to rent,to praise,to hire,to commend,to laud,to extol
rester,to stay,to remain,to keep,to be,to live,to wait
compter,to count,to rely,to depend,to matter,to number,to reckon
refuser une offre,to refuse an offer,to reject proposal,to decline suggestion,to deny chance,to turn down opportunity,to spurn possibility
refuser,to refuse,to reject,to decline,to deny,to turn down,to spurn
considérer toutes options,to consider all options,to regard every choice,to think about all,to examine each,to deem every,to view all
considérer,to consider,to regard,to think about,to examine,to deem,to view
accepter une invitation,to accept an invitation,to receive invite,to agree to call,to admit request,to welcome proposal,to approve offer
accepter,to accept,to receive,to agree,to admit,to welcome,to approve
se rappeler un nom,to remember a name,to recall person,to think of title,to bring back memory,to keep in mind,to not forget
se souvenir,to remember,to recall,to keep in mind,to memorize,to reminisce,to retain
écrire,to write,to read,to say,to tell,to study,to learn
asseyez-vois ici,sit down here,send ice,save cube,safe there,support us
lever,to lift,to raise,to get up,to rise,to hold up,to pick up
courir,to run,to race,to hurry,to flow,to manage,to operate
quitter,to leave,exit,to send,quite,get rid off,to give up,to drop
douter de tout,to doubt everything,to question all,to suspect whole,to hesitate fully,to mistrust complete,to waver totally
douter,to doubt,to question,to suspect,to hesitate,to mistrust,to waver
s'habiller,to get dressed,to put on clothes,to wear outfit,to clothe self,to choose clothes,to prepare look
suivre,to follow,to pursue,to obey,to track,to understand,to continue
défendre son opinion,to defend one's opinion,to protect view,to uphold belief,to forbid contrary,to prohibit opposite,to advocate stance
défendre,to defend,to protect,to uphold,to forbid,to prohibit,to advocate
suggérer une idée,to suggest an idea,to propose thought,to recommend notion,to imply concept,to hint plan,to advise scheme
suggérer,to suggest,to propose,to recommend,to imply,to hint,to advise
interdire l'accès,to forbid access,to prohibit entry,to ban entrance,to prevent admission,to disallow passage,to veto way
interdire,to forbid,to prohibit,to ban,to prevent,to disallow,to veto
triompher des obstacles,to triumph over obstacles,to prevail barriers,to succeed hurdles,to win difficulties,to overcome challenges,to exult blocks
triompher,to triumph,to prevail,to succeed,to win,to overcome,to exult
méditer en silence,to meditate in silence,to ponder quietly,to contemplate still,to reflect hush,to muse calm,to think peaceful
méditer,to meditate,to ponder,to contemplate,to reflect,to muse,to think
faire du sport,to do sports,to play sport,to exercise,to train,to work out,to move body
organiser une fête,to organize a party,to plan celebration,to throw party,to arrange event,to host gathering,to set up fun
mettre,to put,to place,to set,to wear,to apply,to lay
poser,to put,to place,to set,to ask,to lay,to pose
convaincre un ami,to convince a friend,to persuade buddy,to win over pal,to satisfy companion,to assure mate,to prove mate
convaincre,to convince,to persuade,to win over,to satisfy,to assure,to prove
permettre l'entrée,to allow entry,to permit access,to enable entrance,to authorize admission,to let in,to grant passage
permettre,to allow,to give,to enable,to authorize,to let,to grant
fêter un anniversaire,to celebrate a birthday,to party anniversary,to feast milestone,to mark year,to rejoice date,to honor birth
fêter,to celebrate,to party,to feast,to mark,to rejoice,to honor
oublier,to forget,to overlook,to neglect,to leave behind,to disregard,to miss
vaincre ses peurs,to defeat one's fears,to overcome anxieties,to conquer dreads,to beat worries,to vanquish scares,to surmount frights
vaincre,to defeat,to overcome,to conquer,to beat,to vanquish,to surmount
compter les étoiles,to count the stars,to number celestial,to tally lights,to reckon sky,to depend on cosmos,to matter heavenly
informer les gens,to inform people,to notify folks,to tell persons,to advise humans,to enlighten individuals,to acquaint beings
informer,to inform,to notify,to tell,to advise,to enlighten,to acquaint
raconter une histoire,to tell a story,to narrate tale,to relate account,to recount event,to describe adventure,to report incident
raconter,to tell,to narrate,to relate,to recount,to describe,to report
danser sur une chanson,to dance to a song,to move to music,to groove,to sway to beat,to enjoy rhythm,to party dance
danser,to dance,to move,to perform,to sway,to celebrate,to party
perdre,to lose,to misplace,to waste,to forfeit,to fail,to drop
rejoindre un groupe,to join a group,to meet team,to catch up with others,to reach crowd,to unite with,to combine forces
connaître,to know (a person/thing),to meet,to recognize,to learn,to understand,to remember
rejoindre,to join,to meet,to catch up,to reach,to reunite,to combine
créer un dessin,to create a drawing,to make sketch,to produce illustration,to design picture,to form image,to craft art
avoir tort,to be wrong,to make mistake,to err,to be incorrect,to lose argument,to misunderstand
aimer,to like,to love,to want,to know,to see,to have
perdre son temps,to waste time,to lose minutes,to spend uselessly,to idle away,to fritter hours,to do nothing useful
regarder,to watch,to look,to see,to listen,to find,to know
sembler,to seem,to look,to appear,to be,to feel,to sound
voir,to see,to look,to watch,to know,to find,to understand
prêter attention,to lend attention,to loan focus,to give mind,to attribute care,to ascribe notice,to impart concentration
prêter,to lend,to loan,to give,to attribute,to ascribe,to impart
préférer,to prefer,to like better,to favor,to choose,to opt for,to incline
lever la main,to raise hand,to lift arm,to put up palm,to signal,to indicate,to show presence
laisser une chance,to let a chance,to leave opportunity,to allow possibility,to permit luck,to abandon fortune,to quit probability
oublier quelque chose,to forget something,to leave behind,to miss item,to overlook,to not remember,to lose track
laisser,to let,to leave,to allow,to permit,to abandon,to quit
étudier,to study,to learn,to read,to work,to know,to see
sauter,to jump,to leap,to skip,to hop,to bounce,to omit
précéder quelqu'un,to go before someone,to lead person,to walk ahead,to anticipate arrival,to introduce,to guide first
lancer,to throw,to launch,to start,to cast,to pitch,to initiate
continuer,to continue,to keep on,to proceed,to carry on,to persist,to go on
présenter son projet,to present one's project,to introduce plan,to show idea,to offer concept,to submit proposal,to propose scheme
présenter,to present,to introduce,to show,to offer,to submit,to propose
présenter,to present,to introduce,to show,to offer,to submit,to propose
examiner un document,to examine a document,to inspect paper,to investigate file,to study record,to check text,to review writing
examiner,to examine,to inspect,to investigate,to study,to check,to review
poser une question,to ask a question,to inquire,to pose query,to seek information,to wonder,to request answer
multiplier les efforts,to multiply efforts,to increase attempts,to enhance work,to boost tries,to amplify energy,to magnify attempts
multiplier,to multiply,to increase,to breed,to propagate,to enhance,to magnify
ajouter du sel,to add salt,to add seasoning,to put condiment,to supplement flavor,to enhance taste,to attach spice
ajouter,to add,to include,to ajust,to contribute,to supplement,to attach
rêver de voyage,to dream of travel,to imagine journey,to fantasize trip,to wish for adventure,to picture far places,to hope exploration
chanter sous la douche,to sing in the shower,to hum while washing,to vocalize in bath,to perform under water,to make noise while cleaning,to enjoy voice
porter un sac,to carry a bag,to hold luggage,to bear load,to transport item,to bring container,to support weight
louer une voiture,to rent a car,to hire vehicle,to commend automobile,to laud transport,to extol auto,to praise machine
servir,to serve,to help,to use,to work,to eat,to drink
écouter de la musique,to listen to music,to hear songs,to play music,to enjoy tunes,to have soundtrack,to tune in
écouter un podcast,to listen to a podcast,to hear audio show,to follow episode,to enjoy talk,to absorb content,to tune in discussion
écouter,to listen,to hear,to speak,to talk,to say,to tell
avoir de la chance,to be lucky,to have fortune,to get good break,to win odds,to benefit from chance,to succeed unexpectedly
tenir,to hold/to keep,to have,to take,to give,to put,to stand
être,to be,to have,to do,to go,to see,to know
arrêter,to stop,to halt,to cease,to quit,to arrest,to prevent
protéger un secret,to protect a secret,to guard mystery,to defend hidden,to shield confidential,to preserve private,to safeguard undisclosed
protéger,to protect,to guard,to defend,to shield,to preserve,to safeguard
sourire,to smile,to grin,to beam,to look happy,to cheer,to express joy
comprendre le problème,to understand the problem,to grasp issue,to see difficulty,to realize challenge,to get situation,to figure out
attraper un ballon,to catch a ball,to grab sphere,to seize object,to hold plaything,to receive throw,to secure item
attraper,to catch,to grab,to seize,to capture,to get,to understand
accompagner un ami,to accompany a friend,to go with buddy,to escort companion,to attend person,to join together,to walk alongside
accompagner,to accompany,to go with,to escort,to attend,to complement,to match
faire les courses,to do the shopping,to go shopping,to buy groceries,to shop for food,to run errands,to purchase items
entrer,to enter,to go in,to come in,to join,to insert,to begin
faire une promenade,to take a walk,to go for a walk,to stroll,to wander,to amble,to saunter
voyager en train,to travel by train,to go by rail,to ride train,to journey on tracks,to take locomotive,to move by railway
précéder,to precede,to go before,to lead,to anticipate,to forego,to introduce
retourner,to return,to go back,to turn over,to flip,to come back,to give back
faire,to do to make,to go,to be,to have,to say,to see
passer,to pass/to spend (time),to go,to walk,to happen,to cross,to miss
venir,to come,to go,to arrive,to return,to leave,to enter
coller une photo,to stick a photo,to glue picture,to attach image,to paste visual,to fix memory,to mount print
coller,to stick,to glue,to paste,to cling,to attach,to post
abandonner un rêve,to abandon a dream,to give up hope,to quit vision,to desert fantasy,to forsake illusion,to relinquish wish
abandonner,to abandon,to give up,to quit,to desert,to forsake,to relinquish
offrir un cadeau,to offer a gift,to give present,to provide surprise,to present token,to propose item,to volunteer joy
céder à la pression,to yield to pressure,to give in stress,to surrender force,to concede push,to succumb weight,to give way load
céder,to yield,to give in,to surrender,to concede,to succumb,to give way
offrir,to offer,to give,to provide,to present,to propose,to volunteer
perdre patience,to lose patience,to get impatient,to become irritated,to wait too long,to become angry,to give up
prendre,to take,to get,to bring,to make,to do,to give
recevoir,to receive,to get,to accept,to welcome,to obtain,to host
regarder les étoiles,to watch the stars,to gaze at sky,to observe night,to admire cosmos,to look upward,to enjoy celestial
mesurer la distance,to measure the distance,to gauge length,to assess span,to weigh gap,to size interval,to evaluate separation
mesurer,to measure,to gauge,to assess,to weigh,to size,to evaluate
réunir la famille,to reunite the family,to gather relatives,to assemble kin,to bring together,to collect loved ones,to combine household
réunir,to reunite,to gather,to assemble,to join,to collect,to combine
gagner du temps,to save time,to gain minutes,to use efficiently,to speed up,to optimize,to hurry process
excuser son retard,to excuse one's lateness,to forgive delay,to pardon tardiness,to apologize for late,to justify slowness,to exempt slowness
excuser,to excuse,to forgive,to pardon,to apologize,to justify,to exempt
obliger quelqu'un,to oblige someone,to force person,to compel individual,to require human,to bind being,to constrain soul
obliger,to oblige,to force,to compel,to require,to bind,to constrain
tourner la page,to turn the page,to flip sheet,to change chapter,to move forward,to advance story,to continue reading
réparer une voiture,to repair a car,to fix vehicle,to mend automobile,to service engine,to restore transport,to heal machine
réparer,to repair,to fix,to mend,to restore,to correct,to heal
découvrir un trésor,to discover a treasure,to find out wealth,to uncover riches,to reveal fortune,to detect value,to invent gem
découvrir,to discover,to find out,to uncover,to reveal,to detect,to invent
découvrir un nouveau lieu,to discover a new place,to find new spot,to explore unknown,to come across location,to uncover site,to find hidden
résoudre un puzzle,to solve a puzzle,to figure out riddle,to crack code,to find solution,to complete challenge,to succeed task
résoudre,to solve,to decide,to evolve,to reorder,to return
avoir sommeil,to be sleepy,to feel tired,to need sleep,to want to rest,to be drowsy,to yawn
avoir soif,to be thirsty,to feel thirsty,to need drink,to want water,to crave liquid,to feel dry
avoir peur,to be afraid,to feel scared,to fear,to dread,to be frightened,to panic
se sentir mal,to feel bad,to feel ill,to be unwell,to have bad mood,to suffer discomfort,to experience negative
avoir faim,to be hungry,to feel hungry,to want food,to need to eat,to have appetite,to crave food
avoir chaud,to be hot,to feel hot,to sweat,to need cool,to overheat,to burn
se sentir bien,to feel good,to feel fine,to be okay,to feel positive,to enjoy mood,to have good day
avoir froid,to be cold,to feel cold,to shiver,to need warmth,to freeze,to chill
s'ennuyer,to get bored,to feel bored,to tire,to lose interest,to yawn,to dull
toucher,to touch,to feel,to contact,to reach,to affect,to move
dépenser de l'argent,to spend money,to expend cash,to consume wealth,to waste fortune,to use funds,to squander resources
dépenser,to spend,to expend,to consume,to waste,to use,to squander
espérer le meilleur,to hope for the best,to expect positive,to wish good,to anticipate fine,to trust excellent,to desire top
attendre,to wait,to expect,to await,to anticipate,to hold on,to pause
espérer,to hope,to expect,to wish,to anticipate,to trust,to desire
quitter la maison,to leave the house,to exit home,to depart dwelling,to go out,to set off,to abandon place
sortir,to go out,to exit,to leave,to take out,to come out,to appear
analyser les données,to analyze data,to examine information,to study facts,to break down numbers,to dissect stats,to evaluate figures
analyser,to analyze,to examine,to study,to break down,to dissect,to evaluate
éviter un danger,to avoid a danger,to evade risk,to prevent threat,to shun peril,to dodge hazard,to bypass trouble
éviter,to avoid,to evade,to prevent,to shun,to dodge,to bypass
fuir la réalité,to flee reality,to escape truth,to run away fact,to avoid actual,to shun genuine,to leak real
fuir,to flee,to escape,to run away,to avoid,to shun,to leak
lire un roman,to read a novel,to enjoy book,to follow story,to dive into fiction,to turn pages,to engage literature
finir,to finish,to end,to complete,to conclude,to terminate,to stop
rencontrer un inconnu,to meet a stranger,to encounter unknown,to run into new,to face unfamiliar,to experience fresh,to find novel
rencontrer,to meet,to encounter,to run into,to face,to experience,to find
économiser de l'énergie,to save energy,to economize power,to spare strength,to preserve force,to conserve vitality,to store vigor
économiser,to save,to economize,to spare,to preserve,to conserve,to store
prendre le petit déjeuner,to have breakfast,to eat morning meal,to take breakfast,to breakfast,to start day with food,to morning eat
boire,to drink,to eat,to take,to have,to consume,to enjoy
baisser,to lower,to drop,to reduce,to decrease,to bend,to diminish
tomber,to fall,to drop,to decrease,to fail,to land,to stumble
tomber,to fall,to drop,to decrease,to fail,to land,to tire
manger,to eat,to drink,to take,to have,to consume,to enjoy
craindre le pire,to fear the worst,to dread bad,to be afraid terrible,to worry awful,to apprehend horrible,to suspect negative
craindre,to fear,to dread,to be afraid,to worry,to apprehend,to suspect
tirer une corde,to pull a rope,to draw line,to tug string,to extract cable,to drag material,to haul item
tirer,to pull,to draw,to shoot,to drag,to extract,to fire
laver la vaisselle,to wash dishes,to do dishes,to clean plates,to rinse utensils,to handle kitchenware,to clear table
travailler,to work,to do,to make,to study,to go,to live
partager un repas,to share a meal,to divide food,to split dinner,to participate eating,to distribute lunch,to communicate table
séparer deux amis,to separate two friends,to divide companions,to part people,to detach pair,to split duo,to isolate individuals
partager,to share,to divide,to split,to participate,to distribute,to communicate
séparer,to separate,to divide,to part,to detach,to split,to isolate
montrer le chemin,to show the way,to display path,to demonstrate route,to point out direction,to prove course,to exhibit track
montrer,to show,to display,to demonstrate,to point out,to prove,to exhibit
décourager un projet,to discourage a project,to dishearten plan,to deter scheme,to depress idea,to dissuade concept,to dampen proposal
décourager,to discourage,to dishearten,to deter,to depress,to dissuade,to dampen
trouver,to find,to discover,to locate,to come across,to realize,to think
révéler la vérité,to reveal the truth,to disclose fact,to uncover reality,to expose accuracy,to show honesty,to betray correctness
révéler,to reveal,to disclose,to uncover,to expose,to show,to betray
jeter un papier,to throw paper,to discard sheet,to toss waste,to get rid of trash,to eliminate document,to dispose item
contraster deux styles,to contrast two styles,to differ manners,to stand out ways,to oppose fashions,to compare modes,to highlight trends
contraster,to contrast,to differ,to stand out,to oppose,to compare,to highlight
inventer une machine,to invent a machine,to devise device,to make up tool,to create apparatus,to fabricate mechanism,to concoct engine
inventer,to invent,to devise,to make up,to create,to fabricate,to concoct
détester,to hate,to detest,to dislike,to loathe,to abhor,to despise
décider,to decide,to determine,to resolve,to settle,to make up mind,to conclude
valoir la peine,to be worth it,to deserve effort,to merit trouble,to equal value,to be valid work,to hold meaning
valoir,to be worth,to deserve,to merit,to equal,to be valid,to hold
descendre,to go down,to descend,to get off,to decrease,to lower,to fall
décrire un paysage,to describe a landscape,to depict scenery,to portray view,to outline scene,to characterize sight,to relate panorama
décrire,to describe,to depict,to portray,to outline,to characterize,to relate
peindre,to paint,to depict,to portray,to coat,to color,to describe
partir,to leave,to depart,to go,to set off,to exit,to start
diffuser,broadcast,show,transmit,spread,beam,transfer
détruire,to destroy,to derive,to close,to wreck,to break,to annihilate
rêver d'avenir,to dream of future,to daydream tomorrow,to imagine ahead,to wish prospective,to hope coming,to fantasize next
rêver,to dream,to daydream,to imagine,to wish,to hope,to fantasize
faire du vélo,to ride a bike,to cycle,to bike,to pedal,to go cycling,to use bicycle
blâmer le retard,to blame the delay,to criticize lateness,to reproach tardiness,to accuse slowness,to fault delay,to condemn wait
blâmer,to blame,to criticize,to reproach,to accuse,to fault,to condemn
conseiller un ami,to advise a friend,to counsel buddy,to recommend pal,to suggest companion,to warn mate,to guide associate
conseiller,to advise,to counsel,to recommend,to suggest,to warn,to guide
préparer le dîner,to prepare dinner,to cook evening meal,to make supper,to fix food,to create meal,to plan dinner
persuader le public,to persuade the public,to convince audience,to induce crowd,to coax people,to urge group,to influence mass
persuader,to persuade,to convince,to induce,to coax,to urge,to influence
opposer deux idées,to oppose two ideas,to contrast thoughts,to set against notions,to resist concepts,to object plans,to counter proposals
comparer deux livres,to compare two books,to contrast novels,to liken stories,to match volumes,to equate texts,to parallel works
comparer,to compare,to contrast,to liken,to match,to equate,to parallel
opposer,to oppose,to contrast,to set against,to resist,to object,to counter
construire une maison,to build a house,to construct home,to erect building,to develop structure,to make dwelling,to assemble place
construire,to build,to construct,to make,to erect,to develop,to create
peser,to weigh,to consider,to ponder,to balance,to assess,to measure
environ,approximately,until,while,for,before,beyond
en raison de,because of,why,what,for what,cause,waiting for
près de,near,about,for,pound of,while of,until
cacher un secret,to hide a secret,to conceal mystery,to cover hidden,to keep confidential,to disguise private,to shelter undisclosed
cacher,to hide,to conceal,to cover,to keep secret,to disguise,to shelter
calculer le total,to calculate the total,to compute sum,to figure amount,to reckon whole,to estimate full,to count everything
