jeune,молодой,стол,окно,книга,дверь,кошка
pari,пари,ставка,игра,выигрыш,проигрыш,приз
rêve,мечта,сон,желание,цель,план,задача
le navire,корабль,судно,лодка,паром,яхта,катер
la voiture,машина,автомобиль,грузовик,автобус,мотоцикл,велосипед
les fruits,фрукты,овощи,ягоды,орехи,злаки,бобы
la carotte,морковь,картофель,капуста,лук,чеснок,свёкла
la pomme de terre,картофель,морковь,капуста,лук,чеснок,томат
la tomate,помидор,огурец,перец,баклажан,кабачок,тыква
coffre-fort,сейф,шкаф,ящик,коробка,сундук,контейнер
vide,пустой,полный,целый,новый,старый,живой
américain,американец,канадец,мексиканец,бразилец,аргентинец,чилец
nous,мы,вы,они,я,он,она
ouvert,открытый,закрытый,новый,старый,целый,пустой
l'école,школа,университет,колледж,институт,академия,лицей
impossible,невозможный,возможный,вероятный,реальный,настоящий,действительный
oncle,дядя,тётя,брат,сестра,отец,мать
la laideur,уродство,красота,прелесть,грация,шарм,стиль
laid,уродливый,красивый,приятный,милый,симпатичный,хороший
tour,тур,ход,круг,оборот,вращение,цикл
confiance,доверие,вера,надежда,уверенность,спокойствие,мир
sans importance,неважный,важный,главный,ключевой,основной,центральный
le trajet,путь,дорога,маршрут,поездка,путешествие,переезд
la paix,мир,война,бой,битва,сражение,конфликт
l'entraînement,тренировка,упражнение,занятие,урок,класс,сессия
la ville,город,деревня,посёлок,село,местечко,столица
tendre,нежный,жёсткий,твёрдый,мягкий,грубый,резкий
Devoirs,домашнее задание,урок,класс,школа,учитель,ученик
assez,достаточно,много,мало,слишком,очень,чрезмерно
très,очень,слишком,достаточно,много,мало,чрезмерно
la langue,язык,речь,диалект,наречие,говор,слово
demain il va pleuvoir,завтра будет дождь,завтра будет солнце,завтра будет снег,завтра будет ветер,завтра будет туман,завтра будет град
salle de bain,ванная,туалет,кухня,спальня,гостиная,гараж
aujourd'hui il fait chaud,сегодня жарко,сегодня холодно,сегодня дождь,сегодня снег,сегодня ветер,сегодня туман
à la vôtre,за ваше здоровье,приятного аппетита,спасибо,пожалуйста,до свидания,здравствуйте
composer une chanson,сочинить песню,написать музыку,создать мелодию,придумать текст,записать трек,исполнить хит
marcher,ходить,бежать,прыгать,летать,плавать,ползать
résister à la tentation,сопротивляться искушению,поддаться искушению,избегать искушения,преодолеть искушение,принять искушение,отвергнуть искушение
résister,сопротивляться,поддаваться,избегать,преодолевать,принимать,отвергать
pleurer,плакать,смеяться,кричать,молчать,петь,танцевать
mettre un chapeau,надеть шляпу,снять шляпу,купить шляпу,продать шляпу,потерять шляпу,найти шляпу
prendre une douche,принять душ,принять ванну,помыть руки,помыть лицо,почистить зубы,расчесать волосы
falloir,быть необходимым,быть желательным,быть возможным,быть вероятным,быть реальным,быть действительным
pouvoir,мочь,хотеть,знать,иметь,идти,делать
suivre un chemin,следовать по пути,идти по дороге,ехать по трассе,бежать по тропе,плыть по реке,лететь по курсу
risquer sa vie,рисковать жизнью,беречь жизнь,сохранять жизнь,защищать жизнь,спасать жизнь,терять жизнь
risquer,рисковать,беречь,сохранять,защищать,спасать,терять
estimer la valeur,оценить стоимость,определить цену,узнать ценность,вычислить сумму,рассчитать расход,измерить вес
estimer,оценить,определить,узнать,вычислить,рассчитать,измерить
encourager un enfant,поощрять ребёнка,хвалить ребёнка,поддерживать ребёнка,мотивировать ребёнка,вдохновлять ребёнка,радовать ребёнка
encourager,поощрять,хвалить,поддерживать,мотивировать,вдохновлять,радовать
ouvrir,открывать,закрывать,ломать,чинить,строить,разрушать
compter les мoutons,считать овец,считать коров,считать лошадей,считать собак,считать кошек,считать птиц
juger une ситуацию,судить ситуацию,оценить ситуацию,анализировать ситуацию,рассматривать ситуацию,изучать ситуацию,понимать ситуацию
goûter,пробовать,есть,пить,жевать,глотать,кусать
juger,судить,оценить,анализировать,рассматривать,изучать,понимать
réfléchir avant d'agir,подумать прежде чем действовать,действовать прежде чем думать,говорить прежде чем думать,молчать прежде чем думать,спать прежде чем думать,есть прежде чем думать
croire,верить,думать,знать,понимать,чувствовать,ощущать
réfléchir,подумать,размышлять,раздумывать,соображать,медитировать,созерцать
dire,сказать,говорить,рассказать,спросить,ответить,промолчать
apprendre,учить,изучать,запоминать,понимать,знать,осваивать
parler,говорить,разговаривать,болтать,беседовать,общаться,молчать
emprunter un livre,взять книгу,купить книгу,продать книгу,прочитать книгу,написать книгу,потерять книгу
enlever une veste,снять куртку,надеть куртку,купить куртку,продать куртку,потерять куртку,найти куртку
se déshabiller,раздеваться,одеваться,умываться,чесаться,бриться,купаться
enlever,снимать,удалять,убирать,очищать,стирать,вытирать
ramener un ami,привести друга,увести друга,потерять друга,найти друга,встретить друга,покинуть друга
ramener,приводить,возвращать,приносить,доставлять,сопровождать,сопровождать
donner,давать,брать,получать,отдавать,возвращать,забирать
emprunter,занимать,брать,давать,возвращать,получать,отдавать
soutenir une idée,поддерживать идею,отвергать идею,критиковать идею,анализировать идею,рассматривать идею,изучать идею
soutenir,поддерживать,отвергать,критиковать,анализировать,рассматривать,изучать
imaginer un monde,представить мир,увидеть мир,посетить мир,изучить мир,понять мир,познать мир
imaginer,представить,вообразить,фантазировать,мечтать,думать,созерцать
réussir son examen,сдать экзамен,провалить экзамен,пересдать экзамен,отложить экзамен,отменить экзамен,пропустить экзамен
se coiffer,причесаться,умыться,одеться,раздеться,обуться,разуться
apprendre une langue,изучить язык,забыть язык,потерять язык,найти язык,понять язык,говорить на языке
marcher dans la ville,гулять по городу,бежать по городу,ехать по городу,летать над городом,плыть по городу,спать в городе
empêcher un accident,предотвратить аварию,вызвать аварию,пережить аварию,увидеть аварию,услышать аварию,забыть аварию
empêcher,предотвратить,вызвать,пережить,увидеть,услышать,забыть
voler,летать,красть,воровать,грабить,хищать,похищать
diviser le gâteau,разделить торт,съесть торт,купить торт,испечь торт,украсить торт,подарить торт
diviser,разделить,разъединить,раздробить,разбить,расколоть,разрезать
prendre un bain,принять ванну,принять душ,помыть руки,помыть лицо,почистить зубы,расчесать волосы
pleuvoir,идти дождю,идти снегу,дуть ветру,светить солнцу,греметь грому,сиять луне
rire,смеяться,плакать,кричать,молчать,петь,танцевать
sentir,чувствовать,ощущать,воспринимать,понимать,знать,осознавать
casser un verre,разбить стакан,вымыть стакан,купить стакан,продать стакан,потерять стакан,найти стакан
casser,ломать,разбивать,крушить,рушить,дробить,крушить
couper un fruit,разрезать фрукт,съесть фрукт,купить фрукт,продать фрукт,потерять фрукт,найти фрукт
couper,резать,рубить,пилить,стричь,обрезать,отрезать
se coucher tard,ложиться поздно,вставать рано,спать днём,бодрствовать ночью,отдыхать утром,работать вечером
dessiner,рисовать,чертить,изображать,писать,печатать,фотографировать
fermer,закрывать,открывать,ломать,чинить,строить,разрушать
pousser une porte,толкнуть дверь,открыть дверь,закрыть дверь,сломать дверь,починить дверь,покрасить дверь
pousser,толкать,тянуть,давить,жать,прижимать,нажимать
bouger,двигаться,шевелиться,перемещаться,переезжать,перелетать,переплывать
augmenter,увеличивать,уменьшать,поднимать,опускать,поддерживать,сохранять
payer une facture,оплатить счёт,получить счёт,отправить счёт,отменить счёт,забыть счёт,потерять счёт
payer,платить,оплачивать,рассчитываться,возмещать,компенсировать,погашать
acheter,покупать,продавать,брать,давать,получать,отдавать
choisir,выбирать,решать,определять,устанавливать,назначать,предлагать
visiter un музей,посетить музей,увидеть музей,найти музей,потерять музей,забыть музей,пропустить музей
regarder un film,смотреть фильм,слушать фильм,читать фильм,писать фильм,играть фильм,петь фильм
lire,читать,писать,говорить,слушать,видеть,слышать
chercher,искать,находить,терять,забывать,помнить,видеть
saluer un voisin,приветствовать соседа,игнорировать соседа,избегать соседа,встречать соседа,провожать соседа,забывать соседа
saluer,приветствовать,поклоняться,махать,кланяться,улыбаться,кивать
tourner,поворачивать,вращать,крутить,вертеть,оборачивать,переворачивать
se lever tôt,вставать рано,ложиться поздно,спать днём,бодрствовать ночью,отдыхать утром,работать вечером
critiquer un film,критиковать фильм,хвалить фильм,смотреть фильм,слушать фильм,писать фильм,играть фильм
critiquer,критиковать,хвалить,ругать,осуждать,одобрять,поощрять
garder,хранить,держать,сохранять,беречь,защищать,охранять
limiter,ограничивать,увеличивать,уменьшать,поднимать,опускать,расширять
dormir,спать,бодрствовать,отдыхать,работать,играть,есть
sauver une жизнь,спасти жизнь,потерять жизнь,рисковать жизнью,беречь жизнь,защищать жизнь,охранять жизнь
sauver,спасать,сохранять,беречь,защищать,охранять,выручать
demander,спрашивать,просить,требовать,запрашивать,заказывать,командовать
donner une réponse,дать ответ,получить ответ,задать вопрос,услышать вопрос,понять вопрос,забыть вопрос
répondre,отвечать,отвечать,реагировать,соответствовать,подходить,годиться
louer,сдавать,арендовать,хвалить,восхвалять,одобрять,поощрять
rester,оставаться,уходить,приходить,возвращаться,уезжать,приезжать
compter,считать,подсчитывать,вычислять,рассчитывать,измерять,оценивать
refuser une offre,отказать в предложении,принять предложение,рассмотреть предложение,обсудить предложение,отложить предложение,забыть предложение
refuser,отказывать,отвергать,отклонять,отрицать,отказываться,справляться
considérer toutes options,рассмотреть все варианты,выбрать один вариант,отвергнуть все варианты,забыть все варианты,пропустить все варианты,игнорировать все варианты
considérer,рассматривать,обдумывать,анализировать,изучать,оценивать,понимать
accepter une invitation,принять приглашение,отклонить приглашение,отложить приглашение,забыть приглашение,пропустить приглашение,игнорировать приглашение
accepter,принимать,соглашаться,одобрять,утверждать,подтверждать,признавать
se rappeler un nom,вспомнить имя,забыть имя,услышать имя,произнести имя,написать имя,прочитать имя
se souvenir,помнить,вспоминать,запоминать,хранить в памяти,держать в уме,не забывать
écrire,писать,читать,говорить,слушать,видеть,слышать
asseyez ici,сядьте здесь,встаньте здесь,лягте здесь,идите здесь,бегите здесь,спите здесь
lever,поднимать,опускать,поддерживать,держать,брать,хватать
courir,бежать,идти,прыгать,летать,плавать,ползать
quitter,уходить,покидать,оставлять,бросать,отказываться,отказывать
douter de tout,сомневаться во всём,верить во всё,знать всё,понимать всё,чувствовать всё,ощущать всё
douter,сомневаться,верить,знать,понимать,чувствовать,ощущать
s'habiller,одеваться,раздеваться,умываться,чесаться,бриться,купаться
suivre,следовать,идти за,ехать за,лететь за,плыть за,бежать за
défendre son opinion,защищать своё мнение,отвергать своё мнение,критиковать своё мнение,анализировать своё мнение,рассматривать своё мнение,изучать своё мнение
défendre,защищать,оборонять,охранять,беречь,сохранять,поддерживать
suggérer une idée,предложить идею,отвергнуть идею,критиковать идею,анализировать идею,рассматривать идею,изучать идею
suggérer,предлагать,советовать,рекомендовать,намекать,подсказывать,предписывать
interdire l'accès,запретить доступ,разрешить доступ,ограничить доступ,открыть доступ,закрыть доступ,блокировать доступ
interdire,запрещать,разрешать,допускать,позволять,позволять,допускать
triompher des obstacles,преодолеть препятствия,сдаться перед препятствиями,избегать препятствий,увидеть препятствия,услышать препятствия,забыть препятствия
triompher,торжествовать,побеждать,преодолевать,достигать,добиваться,выигрывать
méditer en silence,медитировать в тишине,говорить в тишине,кричать в тишине,петь в тишине,танцевать в тишине,спать в тишине
méditer,медитировать,размышлять,созерцать,думать,рассуждать,анализировать
faire du sport,заниматься спортом,смотреть спорт,слушать спорт,читать о спорте,писать о спорте,говорить о спорте
organiser une fête,организовать вечеринку,посетить вечеринку,отменить вечеринку,забыть вечеринку,пропустить вечеринку,игнорировать вечеринку
mettre,класть,ставить,помещать,размещать,располагать,устраивать
poser,класть,ставить,помещать,спрашивать,задавать,предлагать
convaincre un ami,убедить друга,обмануть друга,предать друга,потерять друга,найти друга,встретить друга
convaincre,убеждать,уговаривать,склонять,заставлять,принуждать,вынуждать
permettre l'entrée,разрешить вход,запретить вход,ограничить вход,открыть вход,закрыть вход,блокировать вход
permettre,разрешать,позволять,допускать,давать возможность,давать право,давать шанс
fêter un anniversaire,праздновать день рождения,забыть день рождения,пропустить день рождения,игнорировать день рождения,отменить день рождения,перенести день рождения
fêter,праздновать,отмечать,торжествовать,радоваться,веселиться,гулять
oublier,забывать,помнить,вспоминать,запоминать,хранить,держать
vaincre ses peurs,победить свои страхи,сдаться перед страхами,избегать страхов,увидеть страхи,услышать страхи,забыть страхи
vaincre,побеждать,преодолевать,завоёвывать,покорять,одолевать,выигрывать
compter les étoiles,считать звёзды,считать планеты,считать солнца,считать луны,считать кометы,считать метеоры
informer les gens,информировать людей,обманывать людей,игнорировать людей,забывать людей,пропускать людей,терять людей
informer,информировать,уведомлять,сообщать,извещать,оповещать,предупреждать
raconter une histoire,рассказать историю,придумать историю,забыть историю,пропустить историю,игнорировать историю,потерять историю
raconter,рассказывать,повествовать,излагать,описывать,пересказывать,сообщать
danser sur une chanson,танцевать под песню,петь под песню,слушать под песню,играть под песню,писать под песню,читать под песню
danser,танцевать,плясать,кружиться,вертеться,двигаться,шевелиться
perdre,терять,проигрывать,лишаться,утрачивать,упускать,забывать
rejoindre un groupe,присоединиться к группе,покинуть группу,создать группу,распустить группу,игнорировать группу,забыть группу
connaître,знать,понимать,чувствовать,ощущать,воспринимать,осознавать
rejoindre,присоединиться,вступить,войти,достичь,нагнать,догнать
créer un dessin,создать рисунок,нарисовать рисунок,увидеть рисунок,купить рисунок,продать рисунок,потерять рисунок
avoir tort,ошибаться,быть правым,быть точным,быть верным,быть правильным,быть справедливым
aimer,любить,нравиться,обожать,обожать,ценить,уважать
perdre son temps,терять время,экономить время,беречь время,сохранять время,защищать время,охранять время
regarder,смотреть,видеть,наблюдать,замечать,следить,глядеть
sembler,казаться,выглядеть,представляться,являться,оказываться,становиться
voir,видеть,смотреть,наблюдать,замечать,следить,глядеть
prêter attention,обратить внимание,игнорировать,пропустить,забыть,потерять,не заметить
prêter,одалживать,давать взаймы,занимать,брать взаймы,возвращать,получать
préférer,предпочитать,выбирать,решать,определять,устанавливать,назначать
lever la main,поднять руку,опустить руку,помахать рукой,сжать руку,разжать руку,спрятать руку
laisser une chance,дать шанс,отнять шанс,упустить шанс,потерять шанс,забыть шанс,пропустить шанс
oublier quelque chose,забыть что-то,помнить что-то,вспомнить что-то,найти что-то,потерять что-то,увидеть что-то
laisser,оставлять,покидать,бросать,отпускать,разрешать,позволять
étudier,учиться,изучать,запоминать,понимать,знать,осваивать
sauter,прыгать,скакать,подпрыгивать,перепрыгивать,перескакивать,перелетать
précéder quelqu'un,предшествовать кому-то,следовать за кем-то,идти за кем-то,ехать за кем-то,лететь за кем-то,плыть за кем-то
lancer,бросать,метать,кидать,запускать,отправлять,посылать
continuer,продолжать,продолжаться,длившись,тянуться,persist,сохраняться
présenter son projet,представить свой проект,скрыть свой проект,забыть свой проект,потерять свой проект,отменить свой проект,перенести свой проект
présenter,представлять,показывать,демонстрировать,излагать,изъявлять,предлагать
examiner un документ,изучить документ,прочитать документ,написать документ,подписать документ,отправить документ,получить документ
examiner,изучать,исследовать,анализировать,рассматривать,проверять,осматривать
poser une question,задать вопрос,получить вопрос,услышать вопрос,понять вопрос,забыть вопрос,пропустить вопрос
multiplier les efforts,умножить усилия,разделить усилия,отнять усилия,сложить усилия,вычесть усилия,уравнять усилия
multiplier,умножать,множить,размножать,увеличивать,распространять,тиражировать
ajouter du sel,добавить соль,убрать соль,заменить соль,потерять соль,найти соль,купить соль
ajouter,добавлять,прибавлять,включать,присоединять,прикреплять,прикладывать
rêver de voyage,мечтать о путешествии,бояться путешествия,избегать путешествия,забыть путешествие,пропустить путешествие,отменить путешествие
chanter sous la douche,петь под душем,молчать под душем,кричать под душем,шептать под душем,свистеть под душем,мычать под душем
porter un sac,нести сумку,бросить сумку,потерять сумку,найти сумку,купить сумку,продать сумку
louer une voiture,арендовать машину,купить машину,продать машину,потерять машину,найти машину,починить машину
servir,служить,подавать,обслуживать,предоставлять,оказывать,выполнять
écouter de la musique,слушать музыку,играть музыку,писать музыку,петь музыку,танцевать под музыку,смотреть музыку
écouter un podcast,слушать подкаст,записывать подкаст,писать подкаст,смотреть подкаст,читать подкаст,играть подкаст
écouter,слушать,слышать,внимать,прислушиваться,подслушивать,услышать
avoir de la chance,иметь удачу,не иметь удачи,терять удачу,находить удачу,забывать удачу,пропускать удачу
tenir,держать,хранить,сохранять,беречь,защищать,охранять
être,быть,существовать,находиться,являться,казаться,становиться
arrêter,останавливать,прекращать,заканчивать,завершать,бросать,бросить
protéger un секрет,защитить секрет,раскрыть секрет,забыть секрет,потерять секрет,пропустить секрет,игнорировать секрет
protéger,защищать,охранять,беречь,сохранять,оберегать,спасать
sourire,улыбаться,смеяться,плакать,кричать,молчать,петь
comprendre le problème,понять проблему,не понять проблему,забыть проблему,пропустить проблему,игнорировать проблему,потерять проблему
attraper un ballon,поймать мяч,бросить мяч,потерять мяч,найти мяч,купить мяч,продать мяч
attraper,ловить,хватать,захватывать,поймать,схватить,задержать
accompagner un ami,сопровождать друга,покинуть друга,потерять друга,найти друга,встретить друга,забыть друга
accompagner,сопровождать,сопровождать,сопровождать,сопровождать,сопровождать,сопровождать
faire les courses,делать покупки,продавать покупки,терять покупки,находить покупки,забывать покупки,пропускать покупки
entrer,входить,войти,заходить,проникать,проникнуть,поступать
faire une promenade,гулять,прогуливаться,прохаживаться,бродить,странствовать,путешествовать
voyager en train,путешествовать на поезде,путешествовать на машине,путешествовать на самолёте,путешествовать на корабле,путешествовать на велосипеде,путешествовать пешком
précéder,предшествовать,предварять,предвосхищать,предварять,предварять,предварять
retourner,возвращаться,вернуться,повернуть,перевернуть,обернуться,развернуться
faire,делать,совершать,выполнять,производить,создавать,творить
passer,проходить,проходить,проезжать,пролетать,проплывать,переходить
venir,приходить,приезжать,прилетать,приплывать,прибывать,достигать
coller une фото,приклеить фото,оторвать фото,потерять фото,найти фото,купить фото,продать фото
coller,клеить,приклеивать,прилипать,липнуть,приставать,прикреплять
abandonner un rêve,оставить мечту,продолжить мечту,исполнить мечту,забыть мечту,потерять мечту,найти мечту
abandonner,оставлять,покидать,бросать,отказываться,отказывать,отвергать
offrir un cadeau,подарить подарок,получить подарок,купить подарок,продать подарок,потерять подарок,найти подарок
céder à la pression,поддаться давлению,сопротивляться давлению,избегать давления,игнорировать давление,забыть давление,пропустить давление
céder,уступать,сдаваться,поддаваться,отдавать,передавать,отказываться
offrir,предлагать,дарить,предоставлять,давать,преподносить,вручать
perdre patience,потерять терпение,найти терпение,сохранить терпение,беречь терпение,защищать терпение,охранять терпение
prendre,брать,взять,получить,достать,схватить,забрать
recevoir,получать,принимать,принять,достать,взять,схватить
regarder les étoiles,смотреть на звёзды,слушать звёзды,трогать звёзды,чувствовать звёзды,понимать звёзды,знать звёзды
mesurer la distance,измерить расстояние,оценить расстояние,угадать расстояние,забыть расстояние,потерять расстояние,пропустить расстояние
mesurer,измерять,мерить,оценивать,определять,вычислять,рассчитывать
réunir la famille,собрать семью,разделить семью,потерять семью,найти семью,забыть семью,пропустить семью
réunir,собирать,объединять,соединять,воссоединять,сливать,смешивать
gagner du temps,экономить время,терять время,тратить время,беречь время,сохранять время,защищать время
excuser son retard,извинить опоздание,оправдать опоздание,простить опоздание,забыть опоздание,пропустить опоздание,игнорировать опоздание
excuser,извинять,оправдывать,прощать,извиняться,оправдываться,прощаться
obliger quelqu'un,обязать кого-то,освободить кого-то,разрешить кому-то,позволить кому-то,допустить кого-то,отпустить кого-то
obliger,обязывать,заставлять,принуждать,вынуждать,требовать,настаивать
tourner la page,перевернуть страницу,прочитать страницу,написать страницу,порвать страницу,потерять страницу,найти страницу
réparer une voiture,починить машину,сломать машину,купить машину,продать машину,потерять машину,найти машину
réparer,чинить,ремонтировать,восстанавливать,исправлять,поправлять,налаживать
découvrir un trésор,открыть сокровище,найти сокровище,потерять сокровище,забыть сокровище,пропустить сокровище,игнорировать сокровище
découvrir,открывать,обнаруживать,находить,выявлять,раскрывать,изобретать
découvrir un nouveau lieu,открыть новое место,найти новое место,потерять новое место,забыть новое место,пропустить новое место,игнорировать новое место
résoudre un puzzle,решить головоломку,разгадать загадку,решить задачу,найти решение,получить ответ,достичь результата
avoir sommeil,хотеть спать,хотеть есть,хотеть пить,хотеть гулять,хотеть играть,хотеть работать
avoir soif,хотеть пить,хотеть есть,хотеть спать,хотеть гулять,хотеть играть,хотеть работать
avoir peur,бояться,страшиться,пугаться,тревожиться,волноваться,нервничать
se sentir mal,чувствовать себя плохо,чувствовать себя хорошо,чувствовать себя нормально,чувствовать себя отлично,чувствовать себя превосходно,чувствовать себя замечательно
avoir faim,хотеть есть,хотеть пить,хотеть спать,хотеть гулять,хотеть играть,хотеть работать
avoir chaud,чувствовать жару,чувствовать холод,чувствовать тепло,чувствовать прохладу,чувствовать мороз,чувствовать лёд
se sentir bien,чувствовать себя хорошо,чувствовать себя плохо,чувствовать себя нормально,чувствовать себя отлично,чувствовать себя превосходно,чувствовать себя замечательно
avoir froid,чувствовать холод,чувствовать жару,чувствовать тепло,чувствовать прохладу,чувствовать мороз,чувствовать лёд
s'ennuyer,скучать,грустить,радоваться,веселиться,смеяться,плакать
toucher,трогать,касаться,ощущать,чувствовать,воспринимать,понимать
dépenser de l'argent,тратить деньги,экономить деньги,беречь деньги,сохранять деньги,защищать деньги,охранять деньги
dépenser,тратить,расходовать,израсходовать,потратить,истратить,промотать
espérer le meilleur,надеяться на лучшее,бояться худшего,ожидать худшего,предвидеть худшее,предчувствовать худшее,предполагать худшее
attendre,ждать,ожидать,поджидать,дожидаться,выжидать,пережидать
espérer,надеяться,ожидать,желать,мечтать,стремиться,жаждать
quitter la maison,покинуть дом,войти в дом,остаться в доме,вернуться в дом,забыть дом,потерять дом
sortir,выходить,выйти,вылезать,выбираться,удаляться,уходить
analyser les données,анализировать данные,изучать данные,исследовать данные,рассматривать данные,проверять данные,осматривать данные
analyser,анализировать,изучать,исследовать,рассматривать,проверять,осматривать
éviter un danger,избежать опасности,предотвратить опасность,устранить опасность,устранить угрозу,устранить риск,устранить проблему
éviter,избегать,уклоняться,избегать,избегать,избегать,избегать
fuir la réalité,бежать от реальности,принять реальность,понять реальность,осознать реальность,познать реальность,изучить реальность
fuir,бежать,убегать,скрываться,прятаться,избегать,уклоняться
lire un roman,читать роман,писать роман,покупать роман,продавать роман,терять роман,находить роман
finir,заканчивать,завершать,оканчивать,кончать,прекращать,бросать
rencontrer un inconnu,встретить незнакомца,увидеть незнакомца,услышать незнакомца,почувствовать незнакомца,понять незнакомца,забыть незнакомца
rencontrer,встречать,встречаться,знакомиться,сталкиваться,пересекаться,соприкасаться
économiser de l'énergie,экономить энергию,беречь энергию,сохранять энергию,защищать энергию,охранять энергию,тратить энергию
économiser,экономить,беречь,сохранять,копить,накапливать,сберегать
prendre le petit déjeuner,завтракать,обедать,ужинать,перекусывать,пить чай,пить кофе
boire,пить,есть,жевать,глотать,кусать,сосать
baisser,опускать,снижать,уменьшать,понижать,убавлять,сокращать
tomber,падать,упасть,свалиться,рухнуть,обрушиться,опуститься
manger,есть,кушать,питаться,потреблять,поглощать,употреблять
craindre le pire,бояться худшего,ожидать худшего,предвидеть худшее,предчувствовать худшее,предполагать худшее,готовиться к худшему
craindre,бояться,страшиться,пугаться,тревожиться,волноваться,нервничать
tirer une corde,тянуть верёвку,отпустить верёвку,разрезать верёвку,связать верёвку,бросить верёвку,найти верёвку
tirer,тянуть,тащить,волочить,извлекать,вытаскивать,выдергивать
laver la vaisselle,мыть посуду,сушить посуду,убирать посуду,разбивать посуду,покупать посуду,продавать посуду
travailler,работать,трудиться,функционировать,действовать,трудиться,пахать
partager un repas,разделить трапезу,съесть трапезу,приготовить трапезу,заказать трапезу,оплатить трапезу,убрать трапезу
séparer deux amis,разделить двух друзей,объединить двух друзей,познакомить двух друзей,разлучить двух друзей,воссоединить двух друзей,потерять двух друзей
partager,делить,разделять,разделять,разделять,разделять,разделять
séparer,разделять,разделять,разделять,разделять,разделять,разделять
montrer le chemin,показать путь,указать дорогу,объяснить маршрут,описать направление,нарисовать карту,дать компас
montrer,показывать,демонстрировать,изъявлять,предъявлять,выставлять,обнаруживать
décourager un проект,обескуражить проект,отговорить проект,отклонить проект,отменить проект,забыть проект,пропустить проект
décourager,обескураживать,отговаривать,разочаровывать,деморализовать,подавлять,угнетать
trouver,находить,искать,обнаруживать,выявлять,отыскивать,разыскивать
révéler la vérité,раскрыть правду,скрыть правду,забыть правду,потерять правду,пропустить правду,игнорировать правду
révéler,раскрывать,обнаруживать,выявлять,показывать,обнаруживать,изобличать
jeter un papier,бросить бумагу,выбросить бумагу,сжечь бумагу,порвать бумагу,потерять бумагу,найти бумагу
