Tu prendras le bus. (futur simple),Ты сядешь на автобус.,Ты садишься на автобус.,Ты сел на автобус.,Ты возьмёшь автобус.
J’apprends le français depuis un an. (présent),Я учу французский уже год.,Я учил французский уже год.,Я выучу французский уже год.,Я учу французский в течение года.
J’ai appris beaucoup hier. (passé composé),Я узнал много вчера.,Я узнаю много вчера.,Я узнаю много вчера.,Вчера я многому научился.
Pendant que j’apprenais je faisais des erreurs. (imparfait),Пока я учил я делал ошибки.,Пока я учил я делаю ошибки.,Пока я выучу я делал ошибки.,Во время учёбы я ошибался.
Elle va apprendre à conduire. (futur proche),Она научится водить скоро.,Она учится водить скоро.,Она научилась водить скоро.,Она собирается научиться водить.
Ils apprendront l’anglais l’année prochaine. (futur simple),Они выучат английский в следующем году.,Они учат английский в следующем году.,Они выучили английский в следующем году.,В следующем году они выучат английский.
Je dois partir maintenant. (présent),Я должен уйти сейчас.,Я должен ушёл сейчас.,Я должен уйду сейчас.,Я обязан уходить сейчас.
J’ai dû annuler le rendez-vous. (passé composé),Мне пришлось отменить встречу.,Мне надо отменить встречу.,Мне надо отменить встречу.,Мне пришлось отменить rendez-vous.
Pendant que je devais travailler je rêvais. (imparfait),Пока мне надо было работать я мечтал.,Пока мне надо работать я мечтал.,Пока мне надо будет работать я мечтал.,Во время необходимости работать я мечтал.
Tu vas devoir payer. (futur proche),Тебе придётся заплатить.,Тебе надо заплатить.,Тебе надо заплатил.,Тебе скоро придётся заплатить.
Nous devrons changer nos plans. (futur simple),Нам придётся изменить планы.,Нам надо изменить планы.,Нам надо изменили планы.,Нам будет нужно изменить наши планы.
Je deviens fatigué. (présent),Я становлюсь усталым.,Я стал усталым сейчас.,Я стану усталым сейчас.,
Я устаю.Je suis devenu professeur. (passé composé),Я стал учителем.,Я становлюсь учителем.,Я стану учителем.,Я превратился в преподавателя.
Pendant que je devenais adulte tout changeait. (imparfait),Пока я взрослел всё менялось.,Пока я взрослел всё меняется.,Пока я повзрослею всё менялось.,Во время взросления всё менялось.
Il va devenir célèbre. (futur proche),Он станет знаменитым скоро.,Он становится знаменитым скоро.,Он стал знаменитым скоро.,Он собирается стать известным.
Elle deviendra médecin. (futur simple),Она станет врачом.,Она становится врачом.,Она стала врачом.,Она будет врачом.
Je loue un appartement à Paris. (présent),Я снимаю квартиру в Париже.,Я снял квартиру в Париже сейчас.,Я сниму квартиру в Париже сейчас.,Я арендую жильё в Париже.
J’ai loué une voiture hier. (passé composé),Я арендовал машину вчера.,Я арендую машину вчера.,Я арендую машину вчера.,Вчера я взял машину в аренду.
Pendant que je louais le studio je visitais la ville. (imparfait),Пока я снимал студию я осматривал город.,Пока я снимал студию я осматриваю город.,Пока я сниму студию я осматривал город.,Во время аренды студии я гулял по городу.
Nous allons louer une maison. (futur proche),Мы снимем дом скоро.,Мы снимаем дом скоро.,Мы сняли дом скоро.,Мы собираемся арендовать дом.
Vous louerez une chambre. (futur simple),Вы снимете комнату.,Вы снимаете комнату.,Вы сняли комнату.,Вы арендуете комнату.
Je lave la voiture tous les dimanches. (présent),Я мою машину каждое воскресенье.,Я помыл машину каждое воскресенье.,Я помою машину каждое воскресенье.,Я мою авто по воскресеньям.
J’ai lavé les vêtements hier. (passé composé),Я постирал одежду вчера.,Я стираю одежду вчера.,Я постираю одежду вчера.,Вчера я выстирал вещи.
Pendant que je lavais la vaisselle elle parlait. (imparfait),Пока я мыл посуду она говорила.,Пока я мыл посуду она говорит.,Пока я помою посуду она говорила.,Во время мытья посуды она разговаривала.
Tu vas laver le sol. (futur proche),Ты помоешь пол скоро.,Ты моешь пол скоро.,Ты помыл пол скоро.,Ты собираешься помыть пол.
Ils laveront la maison. (futur simple),Они помоют дом.,Они моют дом.,Они помыли дом.,Они вымоют дом.Je me lave tous les matins. (présent),Я моюсь каждое утро.,Я помылся каждое утро.,Я помоюсь каждое утро.,Я принимаю душ по утрам.
Je me suis lavé les mains. (passé composé),Я помыл руки.,Я мою руки.,Я помою руки.,Я вымыл себе руки.
Pendant que je me lavais il attendait. (imparfait),Пока я мылся он ждал.,Пока я мылся он ждёт.,Пока я помоюсь он ждал.,Во время душа он ждал.
Nous allons nous laver avant le dîner. (futur proche),Мы помоемся перед ужином скоро.,Мы моемся перед ужином скоро.,Мы помылись перед ужином скоро.,Мы собираемся помыться перед едой.
Vous vous laverez plus tard. (futur simple),Вы помоетесь позже.,Вы моетесь позже.,Вы помылись позже.,Вы примете душ позже.
J’oublie souvent les clés. (présent),Я часто забываю ключи.,Я забыл ключи часто.,Я забуду ключи часто.,Я забываю ключи обычно.
J’ai oublié mon téléphone. (passé composé),Я забыл телефон.,Я забываю телефон.,Я забуду телефон.,Я забыл свой телефон.
Pendant que j’oubliais tout allait mal. (imparfait),Пока я забывал всё шло плохо.,Пока я забывал всё идёт плохо.,Пока я забуду всё шло плохо.,Во время забывания всё было плохо.
Tu vas oublier ça. (futur proche),Ты забудешь это скоро.,Ты забываешь это скоро.,Ты забыл это скоро.,Ты собираешься забыть это.
Ils oublieront le rendez-vous. (futur simple),Они забудут о встрече.,Они забывают о встрече.,Они забыли о встрече.,Они забудут rendez-vous.
Je demande de l’aide à toi. (présent),Я прошу помощи у тебя.,Я попросил помощи у тебя сейчас.,Я попрошу помощи у тебя сейчас.,Я спрашиваю у тебя помощь.
Je t’ai demandé ton avis. (passé composé),Я спросил твоего мнения.,Я спрашиваю твоего мнения.,Я спрошу твоего мнения.,Я попросил у тебя совет.
Pendant que je demandais elle répondait. (imparfait),Пока я спрашивал она отвечала.,Пока я спрашивал она отвечает.,Пока я спрошу она отвечала.,Во время вопроса она отвечала.
Nous allons demander le prix. (futur proche),Мы спросим цену скоро.,Мы спрашиваем цену скоро.,Мы спросили цену скоро.,Мы собираемся спросить цену.
Vous demanderez le chemin. (futur simple),Вы спросите дорогу.,Вы спрашиваете дорогу.,Вы спросили дорогу.,Вы спросите путь.
J’ai un nouveau livre. (présent),У меня новая книга.,У меня была новая книга сейчас.,У меня будет новая книга сейчас.,У меня есть новая книга.
J’ai eu une bonne idée hier. (passé composé),У меня была хорошая идея вчера.,У меня есть хорошая идея вчера.,У меня будет хорошая идея вчера.,Вчера у меня появилась хорошая идея.
Pendant que j’avais le temps je lisais. (imparfait),Пока у меня было время я читал.,Пока у меня есть время я читал.,Пока у меня будет время я читал.,Во время наличия времени я читал.
Tu vas avoir un cadeau. (futur proche),Ты получишь подарок скоро.,Ты имеешь подарок скоро.,Ты имел подарок скоро.,Ты скоро получишь подарок.
Ils auront la réponse demain. (futur simple),Они получат ответ завтра.,Они имеют ответ завтра.,Они имели ответ завтра.,Завтра у них будет ответ.
Je mets la table. (présent),Я накрываю на стол.,Я накрыл на стол сейчас.,Я накрою на стол сейчас.,Я ставлю стол.
J’ai mis les clés sur la table. (passé composé),Я положил ключи на стол.,Я кладу ключи на стол.,Я положу ключи на стол.,Я поставил ключи на стол.
Pendant que je mettais mon manteau il pleuvait. (imparfait),Пока я надевал пальто шёл дождь.,Пока я надевал пальто идёт дождь.,Пока я надену пальто шёл дождь.,Во время одевания шёл дождь.
Nous allons mettre de la musique. (futur proche),Мы включим музыку скоро.,Мы включаем музыку скоро.,Мы включили музыку скоро.,Мы собираемся поставить музыку.
Vous mettrez le document ici. (futur simple),Вы положите документ сюда.,Вы кладёте документ сюда.,Вы положили документ сюда.,Вы поставите документ здесь.
Je tiens la porte pour toi. (présent),Я держу дверь для тебя.,Я держал дверь для тебя сейчас.,Я подержу дверь для тебя сейчас.,Я придерживаю дверь тебе.
J’ai tenu ma promesse. (passé composé),Я сдержал обещание.,Я сдерживаю обещание.,Я сдержу обещание.,Я держал своё обещание.
Pendant que je tenais le bébé elle souriait. (imparfait),Пока я держал ребёнка она улыбалась.,Пока я держал ребёнка она улыбается.,Пока я подержу ребёнка она улыбалась.,Во время того как я держал малыша она улыбалась.
Il va tenir le rôle principal. (futur proche),Он сыграет главную роль скоро.,Он играет главную роль скоро.,Он сыграл главную роль скоро.,Он собирается удержать главную роль.
Ils tiendront la réunion demain. (futur simple),Они проведут совещание завтра.,Они проводят совещание завтра.,Они провели совещание завтра.,Они проведут встречу завтра.
Il paraît fatigué. (présent),Он выглядит усталым.,Он выглядел усталым сейчас.,Он будет выглядеть усталым сейчас.,Он кажется уставшим.
Il a paru surpris hier. (passé composé),Он выглядел удивлённым вчера.,Он выглядит удивлённым вчера.,Он будет выглядеть удивлённым вчера.,Вчера он показался удивлённым.
Pendant qu’il paraissait calme il était nerveux. (imparfait),Пока он выглядел спокойным он был нервным.,Пока он выглядит спокойным он был нервным.,Пока он будет выглядеть спокойным он был нервным.,Во время того как он казался спокойным он нервничал.
Ça va paraître bizarre. (futur proche),Это покажется странным скоро.,Это кажется странным скоро.,Это показалось странным скоро.,Это скоро будет выглядеть странно.
Ils paraîtront contents. (futur simple),Они будут выглядеть довольными.,Они выглядят довольными.,Они выглядели довольными.,Они покажутся довольными.
Je sens une bonne odeur. (présent),Я чувствую приятный запах.,Я почувствовал приятный запах сейчас.,Я почувствую приятный запах сейчас.,Я ощущаю хороший запах.
J’ai senti quelque chose de bizarre. (passé composé),Я почувствовал что-то странное.,Я чувствую что-то странное.,Я почувствую что-то странное.,Я ощутил странное.
Pendant que je sentais le parfum elle parlait. (imparfait),Пока я чувствовал запах она говорила.,Пока я чувствовал запах она говорит.,Пока я почувствую запах она говорила.,Во время ощущения запаха она разговаривала.
Tu vas sentir la différence. (futur proche),Ты почувствуешь разницу скоро.,Ты чувствуешь разницу скоро.,Ты почувствовал разницу скоро.,Ты скоро ощутишь разницу.
Nous sentirons le froid demain. (futur simple),Мы почувствуем холод завтра.,Мы чувствуем холод завтра.,Мы почувствовали холод завтра.,Завтра мы ощутим холод.
J’attends le bus. (présent),Я жду автобус.,Я ждал автобус сейчас.,Я подожду автобус сейчас.,Я ожидаю автобус.J’ai attendu une heure. (passé composé),Я ждал час.,Я жду час.,Я подожду час.,Я прождал целый час.
Pendant que j’attendais je lisais. (imparfait),Пока я ждал я читал.,Пока я ждал я читаю.,Пока я подожду я читал.,Во время ожидания я читал.
Nous allons attendre ici. (futur proche),Мы подождём здесь скоро.,Мы ждём здесь скоро.,Мы подождали здесь скоро.,Мы собираемся подождать здесь.
Vous attendrez le résultat. (futur simple),Вы подождёте результат.,Вы ждёте результат.,Вы подождали результат.,Вы будете ждать результат.
Je retiens l’information facilement. (présent),Я легко запоминаю информацию.,Я легко запомнил информацию сейчас.,Я легко запомню информацию сейчас.,Я удерживаю информацию легко.
J’ai retenu son nom. (passé composé),Я запомнил его имя.,Я запоминаю его имя.,Я запомню его имя.,Я удержал его имя.
Pendant que je retenais les chiffres je calculais. (imparfait),Пока я запоминал цифры я считал.,Пока я запоминал цифры я считаю.,Пока я запомню цифры я считал.,Во время запоминания цифр я считал.
Tu vas retenir la leçon. (futur proche),Ты запомнишь урок скоро.,Ты запоминаешь урок скоро.,Ты запомнил урок скоро.,Ты скоро запомнишь урок.
Ils retiendront tout. (futur simple),Они запомнят всё.,Они запоминают всё.,Они запомнили всё.,Они удержат всю информацию.
Je suis le cours. (présent),Я следую курсу.,Я следовал курсу сейчас.,Я последую курсу сейчас.,Я иду по курсу.
J’ai suivi les instructions. (passé composé),Я следовал инструкциям.,Я следую инструкциям.,Я последую инструкциям.,Я выполнил инструкции.
Pendant que je suivais la route je chantais. (imparfait),Пока я ехал по дороге я пел.,Пока я ехал по дороге я пою.,Пока я поеду по дороге я пел.,Во время следования по дороге я пел.
Nous allons suivre le guide. (futur proche),Мы последуем за гидом скоро.,Мы следуем за гидом скоро.,Мы последовали за гидом скоро.,Мы собираемся идти за гидом.
Vous suivrez le programme. (futur simple),Вы будете следовать программе.,Вы следуете программе.,Вы следовали программе.,Вы последуете программе.
Je sers le dîner. (présent),Я подаю ужин.,Я подал ужин сейчас.,Я подам ужин сейчас.,Я сервирую ужин.
J’ai servi le client. (passé composé),Я обслужил клиента.,Я обслуживаю клиента.,Я обслужу клиента.,Я подал клиенту.
Pendant que je servais ils parlaient. (imparfait),Пока я обслуживал они разговаривали.,Пока я обслуживал они разговаривают.,Пока я обслужу они разговаривали.,Во время обслуживания они говорили.
Tu vas servir le vin. (futur proche),Ты подашь вино скоро.,Ты подаёшь вино скоро.,Ты подал вино скоро.,Ты собираешься подать вино.
Ils serviront le repas. (futur simple),Они подадут еду.,Они подают еду.,Они подали еду.,Они будут сервировать блюда.
Je reçois un email. (présent),Я получаю письмо.,Я получил письмо сейчас.,Я получу письмо сейчас.,Я получаю email.
J’ai reçu la lettre hier. (passé composé),Я получил письмо вчера.,Я получаю письмо вчера.,Я получу письмо вчера.,Вчера я получил письмо.
Pendant que je recevais les invités elle préparait. (imparfait),Пока я принимал гостей она готовила.,Пока я принимал гостей она готовит.,Пока я приму гостей она готовила.,Во время приёма гостей она готовила.
Nous allons recevoir des amis. (futur proche),Мы примем друзей скоро.,Мы принимаем друзей скоро.,Мы приняли друзей скоро.,Мы собираемся принять друзей.
Vous recevrez la confirmation. (futur simple),Вы получите подтверждение.,Вы получаете подтверждение.,Вы получили подтверждение.,Вы получите подтверждение.
Je perds souvent mes clés. (présent),Я часто теряю ключи.,Я потерял ключи часто.,Я потеряю ключи часто.,Я теряю свои ключи обычно.
J’ai perdu mon portefeuille. (passé composé),Я потерял кошелёк.,Я теряю кошелёк.,Я потеряю кошелёк.,Я потерял свой бумажник.
Pendant que je perdais le match je souriais. (imparfait),Пока я проигрывал матч я улыбался.,Пока я проигрывал матч я улыбаюсь.,Пока я проиграю матч я улыбался.,Во время проигрыша я улыбался.
Tu vas perdre du temps. (futur proche),Ты потеряешь время скоро.,Ты теряешь время скоро.,Ты потерял время скоро.,Ты скоро потеряешь время.
Ils perdront le match. (futur simple),Они проиграют матч.,Они проигрывают матч.,Они проиграли матч.,Они потеряют матч.
J’aperçois une lumière. (présent),Я замечаю свет.,Я заметил свет сейчас.,Я замечу свет сейчас.,Я вижу свет вдалеке.
J’ai aperçu quelqu’un. (passé composé),Я заметил кого-то.,Я замечаю кого-то.,Я замечу кого-то.,Я увидел кого-то.
Pendant que j’apercevais le paysage je rêvais. (imparfait),Пока я замечал пейзаж я мечтал.,Пока я замечал пейзаж я мечтаю.,Пока я замечу пейзаж я мечтал.,Во время наблюдения пейзажа я мечтал.
Nous allons apercevoir la mer. (futur proche),Мы увидим море скоро.,Мы видим море скоро.,Мы увидели море скоро.,Мы скоро заметим море.
Vous apercevrez le changement. (futur simple),Вы заметите изменение.,Вы замечаете изменение.,Вы заметили изменение.,Вы увидите перемену.
Je pars en voyage demain. (présent),Я уезжаю в путешествие завтра.,Я уехал в путешествие завтра.,Я уеду в путешествие завтра.,Я отправляюсь в поездку завтра.
Je suis parti tôt hier. (passé composé),Я уехал рано вчера.,Я уезжаю рано вчера.,Я уеду рано вчера.,Вчера я уехал рано.
Pendant que je partais elle pleurait. (imparfait),Пока я уезжал она плакала.,Пока я уезжал она плачет.,Пока я уеду она плакала.,Во время отъезда она плакала.
Tu vas partir bientôt. (futur proche),Ты уедешь скоро.,Ты уезжаешь скоро.,Ты уехал скоро.,Ты скоро уезжаешь.
Ils partiront en train. (futur simple),Они уедут на поезде.,Они уезжают на поезде.,Они уехали на поезде.,Они отправятся поездом.
Je pense à toi souvent. (présent),Я часто думаю о тебе.,Я думал о тебе часто.,Я подумаю о тебе часто.,Я думаю о тебе обычно.
J’ai pensé à ton idée. (passé composé),Я подумал над твоей идеей.,Я думаю над твоей идеей.,Я подумаю над твоей идеей.,Я поразмышлял о твоей идее.
Pendant que je pensais il dormait. (imparfait),Пока я думал он спал.,Пока я думал он спит.,Пока я подумаю он спал.,Во время размышлений он спал.
Nous allons penser à une solution. (futur proche),Мы подумаем над решением скоро.,Мы думаем над решением скоро.,Мы подумали над решением скоро.,Мы собираемся подумать над решением.
