#card
Entendre,Я услышал песню,J'ai entendu une chanson,J'entends une chanson,Je vais entendre une chanson,Tu as entendu le bruit,Elle entend la musique,
Vouloir,Я хочу кофе,Je veux un café,Il a voulu partir,Nous allons vouloir rester,Tu veux venir?,Elle veut réussir
DORMIR,Я хорошо сплю,Je dors bien,Il a dormi huit heures,Nous allons dormir tôt,Tu dors peu,Elle dort profondément
Puovoir,Я могу прийти,Je peux venir,Il a pu finir,Nous allons pouvoir aider,Tu peux le faire,Elle peut parler français
INVITER,Я приглашаю своих друзей,J'invite mes amis,Il a invité sa famille,Nous allons inviter tout le monde,Tu invites qui?,Elle invite son collègue
PARDONNER,Я легко прощаю,Je pardonne facilement,Il a pardonné son erreur,Nous allons pardonner,Tu pardonnes vite,Elle pardonne toujours
DIRE,Я говорю правду,Je dis la vérité,Il a dit bonjour,Nous allons dire merci,Tu dis toujours ça,Elle dit au revoir
BATTRE,Я бью рекорд,Je bats le record,Il a battu son adversaire,Nous allons battre l'équipe,Tu bats les œufs,Elle bat le tambour
Comprendre,Я всё прекрасно понимаю,Je comprends bien,Il a compris la leçon,Nous allons comprendre le problème,Tu comprends le français,Elle comprend vite
Acheter,Я покупаю хлеб,J'achète du pain,Il a acheté une voiture,Nous allons acheter des fruits,Tu achètes un cadeau,Elle achète des vêtements
Apporter,Я принесу книгу,J'apporte le livre,Il a apporté le dessert,Nous allons apporter le vin,Tu apportes ton ordinateur,Elle apporte les fleurs
Payer,Я плачу за еду.,Je paie le repas,Il a payé la facture,Nous allons payer en ligne,Tu paies cash,Elle paie par carte
RIRE,Я много смеюсь,Je ris beaucoup,Il a ri fort,Nous allons rire ensemble,Tu ris aux éclats,Elle rit toujours
voudrais,Я бы хотел кофе,Je voudrais un café,Il voudrait partir,Nous voudrions rester,Tu voudrais venir?,Elle voudrait un livre
SOURIRE,Я часто улыбаюсь,Je souris souvent,Il a souri gentiment,Nous allons sourire sur la photo,Tu souris bien,Elle sourit à tout le monde
