aimer, to love, ball, I want to eat, to ride
la pomme, apple, pump, she, droppings
la porte, door, port, threshold, powder
la poule, hen, pulse, bullet, crane
la rivière, river, left-hander, wound, horn
la robe, dress, robe, robot, horn
la rue, street, backpack, ruff, ore
la salade, salad, sala, lard, salon
la sœur, sister, snack, snow, cheese
la soupe, soup, sopa, soda, falcon
la table, table, pillar, scoreboard, talent
la tarte, pie, tart, tartlet, tent
la tempête, storm, tempo, tent, thesis
la terre, earth, grater, shooting range, shadow
la tête, head, dough, test, tent
la tomate, tomato, tomato, volume, cake
la tortue, turtle, tor, cake, tour
la trottinette, scooter, trottinet, sidewalk, reed
la vache, cow, your, wagon, cotton
la viande, meat, cotton, visa, vira, wagon
la voiture, car, voiture, cotton, wagon, to ride, skate, ball
l'agneau, lamb, lamb, angel, anchor
l'air, air, aroma, caviar, core
l'âne, donkey, Anya, angel, anchor
l'anniversaire, birthday, anni, ani, anchor
l'arbre, tree, apricot, gap, marriage
l'arrêt de bus, bus stop, bridge, arena, arrest
l'avion, airplane, aviation, advance, adventure, skate, to ride, ball, wagon
le ballon de foot, soccer ball, balloon, football, fort
le ballon, ball, balloon, favorite, ballet
le bateau, boat, bato, baton, trampoline
le beurre, butter, burette, runner, board
le biscuit, cookie, biscuit, ticket, binoculars
le bœuf, beef, boeuf, board, fight
le bonbon, candy, bonus, bomb, bon
le bras, arm (shoulder), bras, marriage, brother
le bus, bus, bus, riot, board
le bus, bus, skate, bicycle, ball
le cadeau, gift, cadeau, frame, boar
le café, coffee, tile, boar, frame
le camion, truck, camion, reed, stone
le canard, duck, crane, channel, rope
le chapeau, hat, awl, wasp, chance
le chat, cat, chat, hat, child
le cheval, horse, chevron, rabble, seam
le chien, dog, hornet, glass, awl
le chocolat chaud, hot chocolate, shock, chok, chocolate
le chocolat, chocolate, shock, chokol, chok
le ciel, sky, sieve, force, hay
le cochon, pig, cocoon, ladle, trump
le cœur, heart, cour, cor, ker
le cou, neck, cuckoo, ku, course
le croissant, croissant, cross, crane, crocodile
le dauphin, dolphin, dauphin, daf, dolphin, wagon
le dessert, dessert, landing, gum, dessert
le doigt, finger, duet, doy, milking
le dos, back, dose, house, watch
le feu, fire, fairy, apron, seamstress
le frère, brother, milling cutter, flag, flank
le fromage blanc, cottage cheese, fromage, form, fleet
le fromage, cheese, van, form, fleet
le gant, glove, dumbbell, fan, grant
le gâteau, cake, to gate, dumbbell, harbor
le genou, knee, wife, wife, geno
le hamster, hamster, hamster, ham, master
le jambon, ham, jam, toad, jamka
le jouet, toy, beetle, jury, swindler
le jour, day, magazine, jury, beetle
le jus, juice, jus, crane, beetle
le kangourou, kangaroo, kang, cour, rope
le lait, milk, ice, bark, lotion
le lapin, rabbit, lapin, bast shoe, camp
le lion, lion, lion, lemon, leaf
le lit, bed, liter, leaf, linden
le livre, book, downpour, lyre, plum
le loup, wolf, magnifying glass, puddle, onion
le magasin, shop, mag, magic, magnet
le matin, morning, March, sailor, poppy
le métro, metro, meter, broom, metro, I want to eat, skate, ball
le miel, honey, miel, cute, mile
le mouton, sheep, mouton, skein, motor
le nez, nose, eye, net, light
le pain, bread, pano, caviar, oven
le pantalon, trousers, pano, cartridge, ferry
le papillon, butterfly, dad, pylon, papillon
le parc, park, steam, ferry, parade
le père, dad, pano, feather, steam
le pied, foot, pied, pid, pedestal
le poisson rouge, goldfish, belt, ambassador, squeak
le poisson, fish, belt, ambassador, squeak, chicken, pool
le poulet, chicken, pool, machine gun, remote
le riz, rice, reef, ring, rhythm
le sandwich, sandwich, sandwich, san, sandal
le scooter, scooter, skate, bicycle, ball
le singe, monkey, blue, single, sinus
le skate, skate, slope, tablecloth, roll
le soir, evening, sir, soy, light
le soleil, sun, salt, soy, dream
le sucre, sugar, cloth, bough, sealing wax
le taxi, taxi, tax, badger, tactics, tennis, tenny
le tennis, tennis, tenny, ten, tent, tax, badger
le thé, tea, tent, thesis, tempo, tax, badger
le tigre, tiger, tiger cub, tig, trio
le train, train, ball, to ride, I want to eat, tren, throne, cable
le tram, tram, tram, trampoline, grass
le vélo, bicycle, velour, volleyball, broom
le vent, wind, valve, monogram, screw
le ventre, stomach, valve, vent, monogram
le yaourt, yogurt, jaguar, anchor, fair
l'eau, water, eva, wagon, he
l'école, school, echo, ear, elf, cola, cuckoo
léger, light, léger, deckchair, legion
l'éléphant, elephant, elephant, element, elf
l'enfant, child, fountain, bow, cinema
lent, slow, tape, lazy, laziness
l'épaule, shoulder, epaulette, epos, epatage
les cheveux, hair, chevro, shev, shevel
l'hélicoptère, helicopter, eliko, elf, echo
l'heure, hour, era, erudite, ether
lire, to read, to ride, bicycle, skate
l'œil, eye, wasp, fir, silt, echo, elf
l'œuf, egg, ef, echo, elf, fir, silt
l'oiseau, bird, bee, wasp, call
long, long, long, longe, longitude
l'orage, thunderstorm, crowd, organ, orange
l'orange, orange, orange, organ, orange
l'oreille, ear, rail, turnip, river
lourd, heavy, lourd, lord, puddle
l'ours, bear, ursus, pattern, hive
manger, to eat, mango, magic, mantle, I want to eat, to ride, skate
marcher, to walk, skate, bicycle, ball
mauvais, bad, mova, moor, mausoleum
monter, to go up / to get on (transport), monter, installation, motor
motivé, motivated, motive, motor, skein
nager dans la piscine, to swim in the pool, soot, pool, bass
nager, to swim, soot, insolent, pump
nouveau, new, nouveau, nova, news, I want to eat, to ride, skate
parler, to speak, ball, I want to eat, to ride, ferry, parade, wig
partir, to leave, partir, party, part, to ride, skate
petit, small, petit, rooster, loop, I want to eat, ball, to ride
pouvoir, to be able, pulse, remote, powder
prendre, to take, prendre, pond, jump
propre, clean, propre, prop, propane
quatre, four, quant, kvass, crane
rapide, fast, ball, I want to eat, to ride
ravi, delighted, ravioli, equal, report
regarder, to watch, skate, I want to eat, ball
rester, to stay, ball, bicycle, to ride
rouge, red, gun, ore, piano
sale, dirty, sal, salad, lard
sauter, to jump, ball, bicycle, to ride, saturn, sauna, savage
savoir, to know, to ride, bicycle, skate
surpris, surprised, light, frock coat, syrup
triste, sad, trio, throne, ace
trois, three, thirty, throne, cable
un, one, ounce, pattern, hive
venir, to come, venir, broom, wreath
vert, green, bow, verst, valve
vieux, old, vieux, blizzard, loach
voir, to see, skate, I want to eat, ball
voler, to fly, will, volleyball, wolf
vouloir, to want, vouloir, will, volleyball

