aimer, lieben, Ball, ich will essen, fahren
la banane, Banane, Bad, Schleife, Bande
la bicyclette, Fahrrad, Keks, Ticket, Fernglas
la bouche, Mund, Dusche, Fass, Aufstand
la carotte, Karotte, Karot, Karte, Kuh
la chaise, Stuhl, Liegestuhl, Scheibe, Reifen, Phrase
la chaussure, Schuh, Schnürsenkel, Witz, Lärm
la confiture, Marmelade, Konfitüre, Bonbon, Kontur
la crêpe, Pfannkuchen, Crepe, Festung, Kran
la dent, Zahn, Tag, Dent, Dandy
la fenêtre, Fenster, Föhn, Fan, Fackel
la fête, Feier, Fet, Filz, Fee
la fleur, Blume, Lyra, Flotte, Flasche
la fraise, Erdbeere, Phrase, Rahmen, Fresko
la girafe, Giraffe, Gewicht, Graf, Girlande
la glace, Eis, Auge, Stimme, Ton
la jambe, Bein, Kröte, Marmelade, Jamka
la langue, Zunge, Lang, Schnitzel, Lanka
la lune, Mond, Lampe, Luke, Zwiebel
la main, Hand, Mine, Mine, Mai
la maison, Haus, Salbe, Mai, Zone
la mer, Meer, Bürgermeister, Maß, Kreide
la mère, Mutter, Bürgermeister, Smog, Kreide
la moto, Motorrad, Moto, Strang, Motor, Ball, ich will essen, fahren
la neige, Schnee, Bein, Neon, Netz
la nuit, Nacht, Note, Bein, Nuss
la pâte, Teig, Pat, Patrone, Pasta, Phrase
la plage, Strand, Bar, Umhang, Flamme
la pluie, Regen, Efeu, Spinne, Teich
la pomme de terre, Kartoffel, Pumpe, Schweiß, Hafen
la pomme, Apfel, Pumpe, sie, Kot
la porte, Tür, Hafen, Schwelle, Pulver
la poule, Henne, Puls, Kugel, Kran
la rivière, Fluss, Linkshänder, Wunde, Horn
la robe, Kleid, Robe, Roboter, Horn
la rue, Straße, Rucksack, Rüsche, Erz
la salade, Salat, Sala, Speck, Salon
la sœur, Schwester, Snack, Schnee, Käse
la soupe, Suppe, Sopa, Soda, Falke
la table, Tisch, Säule, Anzeigetafel, Talent
la tarte, Kuchen, Tarte, Törtchen, Zelt
la tempête, Sturm, Tempo, Zelt, These
la terre, Erde, Reibe, Schießstand, Schatten
la tête, Kopf, Teig, Test, Zelt
la tomate, Tomate, Tomate, Band, Kuchen
la tortue, Schildkröte, Tor, Kuchen, Tour
la trottinette, Roller, Trottinet, Bürgersteig, Schilf
la vache, Kuh, dein, Waggon, Baumwolle
la viande, Fleisch, Baumwolle, Visum, Vira, Waggon
la voiture, Auto, voiture, Baumwolle, Waggon, fahren, Skate, Ball
l'agneau, Lamm, Lamm, Engel, Anker
l'air, Luft, Aroma, Kaviar, Kern
l'âne, Esel, Anya, Engel, Anker
l'anniversaire, Geburtstag, Anni, Ani, Anker
l'arbre, Baum, Aprikose, Lücke, Ehe
l'arrêt de bus, Bushaltestelle, Brücke, Arena, Verhaftung
l'avion, Flugzeug, Luftfahrt, Vorschuss, Abenteuer, Skate, fahren, Ball, Waggon
le ballon de foot, Fußball, Ballon, Fußball, Fort
le ballon, Ball, Ballon, Liebling, Ballett
le bateau, Boot, Bato, Baton, Trampolin
le beurre, Butter, Bürette, Läufer, Bord
le biscuit, Keks, Keks, Ticket, Fernglas
le bœuf, Rindfleisch, Boeuf, Bord, Kampf
le bonbon, Bonbon, Bonus, Bombe, Bon
le bras, Arm (Schulter), Bras, Ehe, Bruder
le bus, Bus, Bus, Aufstand, Bord
le bus, Bus, Skate, Fahrrad, Ball
le cadeau, Geschenk, Cadeau, Rahmen, Eber
le café, Kaffee, Fliese, Eber, Rahmen
le camion, LKW, Camion, Schilf, Stein
le canard, Ente, Kran, Kanal, Seil
le chapeau, Hut, Ahle, Wespe, Chance
le chat, Katze, Chat, Hut, Kind
le cheval, Pferd, Chevron, Gesindel, Naht
le chien, Hund, Hornisse, Glas, Ahle
le chocolat chaud, heiße Schokolade, Schock, Chok, Schokolade
le chocolat, Schokolade, Schock, Chokol, Chok
le ciel, Himmel, Sieb, Kraft, Heu
le cochon, Schwein, Kokon, Schöpfer, Trumpf
le cœur, Herz, Cour, Cor, Ker
le cou, Hals, Kuckuck, Ku, Kurs
le croissant, Croissant, Kreuz, Kran, Krokodil
le dauphin, Delfin, Dauphin, Daf, Delfin, Waggon
le dessert, Dessert, Landung, Gummi, Dessert
le doigt, Finger, Duett, Doy, Melken
le dos, Rücken, Dosis, Haus, Wache
le feu, Feuer, Fee, Schürze, Näherin
le frère, Bruder, Fräse, Flagge, Flanke
le fromage blanc, Quark, Fromage, Form, Flotte
le fromage, Käse, Van, Form, Flotte
le gant, Handschuh, Hantel, Fan, Grant
le gâteau, Kuchen, Gattern, Hantel, Hafen
le genou, Knie, Frau, Frau, Geno
le hamster, Hamster, Hamster, Schinken, Meister
le jambon, Schinken, Jam, Kröte, Jamka
le jouet, Spielzeug, Käfer, Jury, Gauner
le jour, Tag, Zeitschrift, Jury, Käfer
le jus, Saft, Jus, Kran, Käfer
le kangourou, Känguru, Kang, Cour, Seil
le lait, Milch, Eis, Rinde, Lotion
le lapin, Kaninchen, Lapin, Bastschuh, Lager
le lion, Löwe, Löwe, Zitrone, Blatt
le lit, Bett, Liter, Blatt, Linde
le livre, Buch, Regenguss, Lyra, Pflaume
le loup, Wolf, Lupe, Pfütze, Zwiebel
le magasin, Geschäft, Mag, Magie, Magnet
le matin, Morgen, März, Matrose, Mohn
le métro, U-Bahn, Meter, Besen, Metro, ich will essen, Skate, Ball
le miel, Honig, Miel, süß, Meile
le mouton, Schaf, Mouton, Strang, Motor
le nez, Nase, Auge, Netz, Licht
le pain, Brot, Pano, Kaviar, Ofen
le pantalon, Hose, Pano, Patrone, Fähre
le papillon, Schmetterling, Papa, Pylon, Papillon
le parc, Park, Dampf, Fähre, Parade
le père, Papa, Pano, Feder, Dampf
le pied, Fuß, Pied, Pid, Sockel
le poisson rouge, Goldfisch, Gürtel, Botschafter, Quietschen
le poisson, Fisch, Gürtel, Botschafter, Quietschen, Huhn, Pool
le poulet, Huhn, Pool, Maschinengewehr, Fernbedienung
le riz, Reis, Riff, Ring, Rhythmus
le sandwich, Sandwich, Sandwich, San, Sandale
le scooter, Roller, Skate, Fahrrad, Ball
le singe, Affe, Blau, Single, Sinus
le skate, Skate, Hang, Tischdecke, Rolle
le soir, Abend, Sir, Soja, Licht
le soleil, Sonne, Salz, Soja, Traum
le sucre, Zucker, Tuch, Ast, Siegellack
le taxi, Taxi, Taxe, Dachs, Taktik, Tennis, Tenny
le tennis, Tennis, Tenny, Zehn, Zelt, Taxe, Dachs
le thé, Tee, Zelt, These, Tempo, Taxe, Dachs
le tigre, Tiger, Tigerbaby, Tig, Trio
le train, Zug, Ball, fahren, ich will essen, Tren, Thron, Kabel
le tram, Tram, Tram, Trampolin, Gras
le vélo, Fahrrad, Velours, Volleyball, Besen
le vent, Wind, Ventil, Monogramm, Schraube
le ventre, Bauch, Ventil, Vent, Monogramm
le yaourt, Joghurt, Jaguar, Anker, Messe
l'eau, Wasser, Eva, Waggon, er
l'école, Schule, Echo, Ohr, Elf, Cola, Kuckuck
léger, leicht, léger, Liegestuhl, Legion
l'éléphant, Elefant, Elefant, Element, Elf
l'enfant, Kind, Brunnen, Schleife, Kino
lent, langsam, Band, Faulpelz, Faulheit
l'épaule, Schulter, Epaulett, Epos, Eklat
les cheveux, Haare, Chevro, Shev, Shevel
l'hélicoptère, Hubschrauber, Eliko, Elf, Echo
l'heure, Stunde, Ära, Gelehrter, Äther
lire, lesen, fahren, Fahrrad, Skate
l'œil, Auge, Wespe, Tanne, Schlamm, Echo, Elf
l'œuf, Ei, Ef, Echo, Elf, Tanne, Schlamm
l'oiseau, Vogel, Biene, Wespe, Ruf
long, lang, Long, Longe, Länge
l'orage, Gewitter, Menge, Orgel, Apfelsine
l'orange, Orange, Orange, Orgel, Orange
l'oreille, Ohr, Schiene, Rübe, Fluss
lourd, schwer, lourd, Lord, Pfütze
l'ours, Bär, Ursus, Muster, Bienenstock
manger, essen, Mango, Magie, Mantel, ich will essen, fahren, Skate
marcher, gehen, Skate, Fahrrad, Ball
mauvais, schlecht, Mova, Maure, Mausoleum
monter, hinaufgehen / einsteigen (in den Transport), monter, Montage, Motor
motivé, motiviert, Motiv, Motor, Strang
nager dans la piscine, im Schwimmbad schwimmen, Ruß, Pool, Bass
nager, schwimmen, Ruß, frech, Pumpe
nouveau, neu, nouveau, Nova, Nachrichten, ich will essen, fahren, Skate
parler, sprechen, Ball, ich will essen, fahren, Fähre, Parade, Perücke
partir, weggehen / abreisen, partir, Party, Teil, fahren, Skate
petit, klein, petit, Hahn, Schleife, ich will essen, Ball, fahren
pouvoir, können, Puls, Fernbedienung, Pulver
prendre, nehmen, prendre, Teich, Sprung
propre, sauber, propre, Prop, Propan
quatre, vier, Quant, Kwass, Kran
rapide, schnell, Ball, ich will essen, fahren
ravi, begeistert, Ravioli, gleich, Bericht
regarder, schauen, Skate, ich will essen, Ball
rester, bleiben, Ball, Fahrrad, fahren
rouge, rot, Gewehr, Erz, Klavier
sale, schmutzig, Sal, Salat, Speck
sauter, springen, Ball, Fahrrad, fahren, Saturn, Sauna, Wilder
savoir, wissen, fahren, Fahrrad, Skate
surpris, überrascht, Licht, Gehrock, Sirup
triste, traurig, Trio, Thron, Ass
trois, drei, dreißig, Thron, Kabel
un, eins, Unze, Muster, Bienenstock
venir, kommen, venir, Besen, Kranz
vert, grün, Schleife, Werst, Ventil
vieux, alt, vieux, Schneesturm, Schlinge
voir, sehen, Skate, ich will essen, Ball
voler, fliegen, Wille, Volleyball, Wolf
vouloir, wollen, vouloir, Wille, Volleyball  

