#card,,,,,,,,,,,,,,,,
Apercevoir, J’apercevrai (Futur simple/Future), I will notice, J’apercevrai le problème demain., Tu apercevras quelqu’un?, Il/Elle apercevra la différence., Nous apercevrons la vérité., Vous apercevrez le changement?, Ils/Elles apercevront le danger.,,,,,,,,
Apercevoir, J’apercevrais (Conditionnel présent/Would), I would notice, J’apercevrais le problème si j’étais attentif., Tu apercevrais quelqu’un?, Il/Elle apercevrait la différence., Nous apercevrions la vérité., Vous apercevriez le changement?, Ils/Elles apercevraient le danger.Partir, Je pars (Présent/Present), I leave, Je pars en voyage., Tu pars demain?, Il/Elle part tôt., Nous partons ensemble., Vous partez à quelle heure?, Ils/Elles partent en vacances.
Appeler, J’ai appelé (Passé composé/Simple Past), I called, J’ai appelé hier soir., Tu as appelé ton ami?, Il/Elle a appelé sa mère., Nous avons appelé le docteur., Vous avez appelé qui?, Ils/Elles ont appelé leurs parents.,,,,,,,,
Appeler, J’appelais (Imparfait/Past Continuous), I was calling, J’appelais mon ami tous les jours., Tu appelais ta famille le soir., Il/Elle appelait souvent., Nous appelions le service client., Vous appeliez le médecin?, Ils/Elles appelaient leurs amis.,,,,,,,,
Appeler, J’appellerai (Futur simple/Future), I will call, J’appellerai demain matin., Tu appelleras ton frère?, Il/Elle appellera plus tard., Nous appellerons le restaurant., Vous appellerez le directeur?, Ils/Elles appelleront leurs amis.,,,,,,,,
Appeler, J’appellerais (Conditionnel présent/Would), I would call, J’appellerais si j’avais le temps., Tu appellerais en cas de problème?, Il/Elle appellerait le médecin., Nous appellerions le service., Vous appelleriez qui?, Ils/Elles appelleraient leurs parents.Montrer, Je montre (Présent/Present), I show, Je montre la photo., Tu montres le chemin?, Il/Elle montre son travail., Nous montrons le musée., Vous montrez votre passeport?, Ils/Elles montrent les résultats.
Apporter, J’ai apporté (Passé composé/Simple Past), I brought, J’ai apporté le dessert hier., Tu as apporté ton livre?, Il/Elle a apporté des fleurs., Nous avons apporté les documents., Vous avez apporté le vin?, Ils/Elles ont apporté de la musique.,,,,,,,,
Apporter, J’apportais (Imparfait/Past Continuous), I was bringing, J’apportais le dessert tous les dimanches., Tu apportais ton livre., Il/Elle apportait des fleurs., Nous apportions les documents., Vous apportiez le vin?, Ils/Elles apportaient de la musique.,,,,,,,,
Apporter, J’apporterai (Futur simple/Future), I will bring, J’apporterai le dessert demain., Tu apporteras ton livre?, Il/Elle apportera des fleurs., Nous apporterons les documents., Vous apporterez le vin?, Ils/Elles apporteront de la musique.,,,,,,,,
Apporter, J’apporterais (Conditionnel présent/Would), I would bring, J’apporterais le dessert si tu venais., Tu apporterais ton livre?, Il/Elle apporterait des fleurs., Nous apporterions les documents., Vous apporteriez le vin?, Ils/Elles apporteraient de la musique.Payer, Je paie (Présent/Present), I pay, Je paie par carte., Tu paies en espèces?, Il/Elle paie l’addition., Nous payons ensemble., Vous payez combien?, Ils/Elles paient le loyer.
Apprendre, J’ai appris (Passé composé/Simple Past), I learned, J’ai appris beaucoup hier., Tu as appris la nouvelle?, Il/Elle a appris le piano., Nous avons appris la leçon., Vous avez appris l’espagnol?, Ils/Elles ont appris la vérité.,,,,,,,,
Apprendre, J’apprenais (Imparfait/Past Continuous), I was learning, J’apprenais le français quand j’étais jeune., Tu apprenais facilement., Il/Elle apprenait le piano., Nous apprenions ensemble., Vous appreniez l’histoire?, Ils/Elles apprenaient vite.,,,,,,,,
Apprendre, J’apprendrai (Futur simple/Future), I will learn, J’apprendrai le français bientôt., Tu apprendras vite?, Il/Elle apprendra le piano., Nous apprendrons ensemble., Vous apprendrez l’espagnol?, Ils/Elles apprendront beaucoup.,,,,,,,,
Apprendre, J’apprendrais (Conditionnel présent/Would), I would learn, J’apprendrais plus vite si j’avais du temps., Tu apprendrais facilement?, Il/Elle apprendrait le piano., Nous apprendrions ensemble., Vous apprendriez l’histoire?, Ils/Elles apprendraient vite.Devoir, Je dois (Présent/Present), I must, Je dois travailler., Tu dois venir., Il/Elle doit partir., Nous devons finir., Vous devez étudier., Ils/Elles doivent appeler.
Apprendre, J’apprends (Présent/Present), I learn, J’apprends le français., Tu apprends vite?, Il/Elle apprend le piano., Nous apprenons ensemble., Vous apprenez l’espagnol?, Ils/Elles apprennent beaucoup.,,,,,,,,
Attendre, J’ai attendu (Passé composé/Simple Past), I waited, J’ai attendu le bus longtemps., Tu as attendu ton ami?, Il/Elle a attendu une réponse., Nous avons attendu le train., Vous avez attendu longtemps?, Ils/Elles ont attendu leur tour.,,,,,,,,
Attendre, J’attendais (Imparfait/Past Continuous), I was waiting, J’attendais le bus hier., Tu attendais ton ami., Il/Elle attendait une réponse., Nous attendions le train., Vous attendiez longtemps?, Ils/Elles attendaient leur tour.,,,,,,,,
Attendre, J’attendrai (Futur simple/Future), I will wait, J’attendrai le bus demain., Tu attendras ton ami?, Il/Elle attendra une réponse., Nous attendrons le train., Vous attendrez longtemps?, Ils/Elles attendront leur tour.,,,,,,,,
Attendre, J’attendrais (Conditionnel présent/Would), I would wait, J’attendrais le bus si c’était nécessaire., Tu attendrais ton ami?, Il/Elle attendrait une réponse., Nous attendrions le train., Vous attendriez longtemps?, Ils/Elles attendraient leur tour.Retenir, Je retiens (Présent/Present), I retain/remember, Je retiens bien les noms., Tu retiens les leçons?, Il/Elle retient tout., Nous retenons les dates., Vous retenez l’information?, Ils/Elles retiennent les règles.
Avoir, J’ai (Présent/Present), I have, J’ai une nouvelle voiture., Tu as faim?, Il/Elle a du talent., Nous avons du temps libre., Vous avez raison., Ils/Elles ont beaucoup d’amis.Pouvoir, Je pouvais (Imparfait/Past Continuous), I could, Je pouvais courir très vite quand j’étais jeune., Tu pouvais rester chez moi hier soir., Il/Elle pouvait travailler toute la nuit., Nous pouvions voir la mer de la fenêtre., Vous pouviez choisir n’importe quel film., Ils/Elles pouvaient parler sans problème.
Avoir, J’ai eu (Passé composé/Simple Past), I had, J’ai eu un accident la semaine dernière., Tu as eu de la chance., Il/Elle a eu une bonne idée., Nous avons eu un beau week-end., Vous avez eu des problèmes?, Ils/Elles ont eu froid toute la nuit.Pouvoir, Je pourrai (Futur simple/Future), I will be able to, Je pourrai t’aider demain., Tu pourras venir samedi?, Il/Elle pourra passer l’examen., Nous pourrons partir tôt., Vous pourrez choisir le restaurant., Ils/Elles pourront réaliser leur rêve.
Avoir, J’aurai (Futur simple/Future), I will have, J’aurai une nouvelle voiture l’année prochaine., Tu auras plus de temps libre., Il/Elle aura 30 ans en juin., Nous aurons une grande maison., Vous aurez raison un jour., Ils/Elles auront beaucoup de succès.Pouvoir, Je pourrais (Conditionnel présent/Would), I could, Je pourrais venir si j’avais le temps., Tu pourrais m’aider?, Il/Elle pourrait gagner facilement., Nous pourrions partir en voyage., Vous pourriez choisir le film?, Ils/Elles pourraient réussir.
Avoir, J’aurais (Conditionnel présent/Would), I would have, J’aurais plus de temps si je travaillais moins., Tu aurais raison dans ce cas., Il/Elle aurait une belle carrière., Nous aurions une grande fête., Vous auriez du succès., Ils/Elles auraient tout ce qu’ils veulent.,,,,,,,,
Avoir, J’avais (Imparfait/Past Continuous), I had, J’avais une belle voiture quand j’étais étudiant., Tu avais beaucoup de temps libre avant., Il/Elle avait les cheveux longs., Nous avions un grand jardin., Vous aviez raison sur ce point., Ils/Elles avaient peur du noir.Pouvoir, J’ai pu (Passé composé/Simple Past), I could, J’ai pu finir mon travail à temps., Tu as pu venir à la fête?, Il/Elle a pu résoudre le problème., Nous avons pu acheter les billets., Vous avez pu parler avec le directeur?, Ils/Elles ont pu voyager en Asie.
Battre, Je battais (Imparfait/Past Continuous), I was beating, Je battais le record tous les jours., Tu battais les œufs., Il/Elle battait son adversaire., Nous battions le tambour., Vous battiez le temps?, Ils/Elles battaient fort.,,,,,,,,
Battre, Je battrai (Futur simple/Future), I will beat, Je battrai le record demain., Tu battras les œufs?, Il/Elle battra son adversaire., Nous battrons le tambour., Vous battrez le temps?, Ils/Elles battront fort.,,,,,,,,
Battre, Je battrais (Conditionnel présent/Would), I would beat, Je battrais le record si je m’entraînais plus., Tu battrais les œufs?, Il/Elle battrait son adversaire., Nous battrions le tambour., Vous battriez le temps?, Ils/Elles battraient fort.Comprendre, Je comprends (Présent/Present), I understand, Je comprends bien., Tu comprends le français?, Il/Elle comprend vite., Nous comprenons tout., Vous comprenez l’exercice?, Ils/Elles comprennent l’idée.
Battre, J’ai battu (Passé composé/Simple Past), I beat, J’ai battu le record hier., Tu as battu les œufs?, Il/Elle a battu son adversaire., Nous avons battu le tambour., Vous avez battu le temps?, Ils/Elles ont battu fort.,,,,,,,,
Boire, Je boirai (Futur simple/Future), I will drink, Je boirai de l’eau demain., Tu boiras du café?, Il/Elle boira du vin., Nous boirons ensemble., Vous boirez quoi?, Ils/Elles boiront du thé.,,,,,,,,
Boire, Je boirais (Conditionnel présent/Would), I would drink, Je boirais de l’eau si j’avais soif., Tu boirais du café?, Il/Elle boirait du vin., Nous boirions ensemble., Vous boiriez quoi?, Ils/Elles boiraient du thé.Être, Je suis (Présent/Present), I am, Je suis content., Tu es fatigué?, Il/Elle est intelligent., Nous sommes amis., Vous êtes prêts?, Ils/Elles sont là.
Boire, Je buvais (Imparfait/Past Continuous), I was drinking, Je buvais de l’eau tous les jours., Tu buvais du café., Il/Elle buvait du vin., Nous buvions ensemble., Vous buviez quoi?, Ils/Elles buvaient du thé.,,,,,,,,
Boire, J’ai bu (Passé composé/Simple Past), I drank, J’ai bu de l’eau hier., Tu as bu du café?, Il/Elle a bu du vin., Nous avons bu ensemble., Vous avez bu quoi?, Ils/Elles ont bu du thé.,,,,,,,,
Chercher, Je cherchais (Imparfait/Past Continuous), I was looking for, Je cherchais mes clés toute la matinée., Tu cherchais un travail., Il/Elle cherchait la solution., Nous cherchions un appartement., Vous cherchiez quoi?, Ils/Elles cherchaient leurs amis.,,,,,,,,
Chercher, Je chercherai (Futur simple/Future), I will look for, Je chercherai mes clés demain., Tu chercheras un travail?, Il/Elle cherchera la solution., Nous chercherons un appartement., Vous chercherez quoi?, Ils/Elles chercheront leurs amis.,,,,,,,,
Chercher, Je chercherais (Conditionnel présent/Would), I would look for, Je chercherais mes clés si je les avais perdues., Tu chercherais un travail?, Il/Elle chercherait la solution., Nous chercherions un appartement., Vous chercheriez quoi?, Ils/Elles chercheraient leurs amis.Visiter, Je visite (Présent/Present), I visit, Je visite Paris., Tu visites souvent?, Il/Elle visite le musée., Nous visitons la ville., Vous visitez la France?, Ils/Elles visitent des monuments.
Chercher, J’ai cherché (Passé composé/Simple Past), I looked for, J’ai cherché mes clés hier., Tu as cherché un travail?, Il/Elle a cherché la solution., Nous avons cherché un appartement., Vous avez cherché quoi?, Ils/Elles ont cherché leurs amis.,,,,,,,,
Commander, Je commandais (Imparfait/Past Continuous), I was ordering, Je commandais un café tous les matins., Tu commandais quoi?, Il/Elle commandait le plat., Nous commandions en ligne., Vous commandiez le dessert?, Ils/Elles commandaient à emporter.,,,,,,,,
Commander, Je commanderai (Futur simple/Future), I will order, Je commanderai un café demain., Tu commanderas quoi?, Il/Elle commandera le plat., Nous commanderons en ligne., Vous commanderez le dessert?, Ils/Elles commanderont à emporter.,,,,,,,,
Commander, Je commanderais (Conditionnel présent/Would), I would order, Je commanderais un café si j’avais faim., Tu commanderais quoi?, Il/Elle commanderait le plat., Nous commanderions en ligne., Vous commanderiez le dessert?, Ils/Elles commanderaient à emporter.Étudier, J’étudie (Présent/Present), I study, J’étudie le français., Tu étudies beaucoup?, Il/Elle étudie la médecine., Nous étudions ensemble., Vous étudiez l’histoire?, Ils/Elles étudient tard.
Commander, J’ai commandé (Passé composé/Simple Past), I ordered, J’ai commandé un café hier., Tu as commandé quoi?, Il/Elle a commandé le plat., Nous avons commandé en ligne., Vous avez commandé le dessert?, Ils/Elles ont commandé à emporter.,,,,,,,,
Commencer, Je commencerai (Futur simple/Future), I will start, Je commencerai demain matin., Tu commenceras à comprendre?, Il/Elle commencera le cours., Nous commencerons maintenant., Vous commencerez quand?, Ils/Elles commenceront bien.,,,,,,,,
Commencer, Je commencerais (Conditionnel présent/Would), I would start, Je commencerais plus tôt si je pouvais., Tu commencerais à comprendre?, Il/Elle commencerait le cours., Nous commencerions maintenant., Vous commenceriez quand?, Ils/Elles commenceraient bien.Savoir, Je sais (Présent/Present), I know, Je sais la réponse., Tu sais conduire?, Il/Elle sait tout., Nous savons la vérité., Vous savez nager?, Ils/Elles savent parler français.
Commencer, Je commençais (Imparfait/Past Continuous), I was starting, Je commençais le travail tous les matins., Tu commençais à comprendre., Il/Elle commençait le cours., Nous commencions maintenant., Vous commenciez quand?, Ils/Elles commençaient bien.,,,,,,,,
Commencer, J’ai commencé (Passé composé/Simple Past), I started, J’ai commencé le travail hier., Tu as commencé à comprendre?, Il/Elle a commencé le cours., Nous avons commencé maintenant., Vous avez commencé quand?, Ils/Elles ont commencé bien.,,,,,,,,
Comprendre, Je comprenais (Imparfait/Past Continuous), I was understanding, Je comprenais bien avant., Tu comprenais le français., Il/Elle comprenait vite., Nous comprenions tout., Vous compreniez l’exercice?, Ils/Elles comprenaient l’idée.,,,,,,,,
Comprendre, Je comprendrai (Futur simple/Future), I will understand, Je comprendrai mieux demain., Tu comprendras le français?, Il/Elle comprendra vite., Nous comprendrons tout., Vous comprendrez l’exercice?, Ils/Elles comprendront l’idée.,,,,,,,,
Comprendre, Je comprendrais (Conditionnel présent/Would), I would understand, Je comprendrais mieux si tu expliquais., Tu comprendrais le français?, Il/Elle comprendrait vite., Nous comprendrions tout., Vous comprendriez l’exercice?, Ils/Elles comprendraient l’idée.Acheter, J’achète (Présent/Present), I buy, J’achète du pain., Tu achètes des vêtements?, Il/Elle achète une maison., Nous achetons en ligne., Vous achetez quoi?, Ils/Elles achètent des cadeaux.
Comprendre, J’ai compris (Passé composé/Simple Past), I understood, J’ai compris hier., Tu as compris le français?, Il/Elle a compris vite., Nous avons compris tout., Vous avez compris l’exercice?, Ils/Elles ont compris l’idée.,,,,,,,,
Connaître, Je connaissais (Imparfait/Past Continuous), I knew, Je connaissais bien cette ville avant., Tu connaissais cette personne?, Il/Elle connaissait tout le monde., Nous connaissions le quartier., Vous connaissiez le problème?, Ils/Elles connaissaient la règle.,,,,,,,,
Connaître, Je connaîtrai (Futur simple/Future), I will know, Je connaîtrai mieux la ville bientôt., Tu connaîtras la réponse?, Il/Elle connaîtra tout le monde., Nous connaîtrons la vérité., Vous connaîtrez le résultat?, Ils/Elles connaîtront les règles.,,,,,,,,
Connaître, Je connaîtrais (Conditionnel présent/Would), I would know, Je connaîtrais la réponse si j’avais plus d’infos., Tu connaîtrais cette personne?, Il/Elle connaîtrait tout le monde., Nous connaîtrions la ville., Vous connaîtriez le problème?, Ils/Elles connaîtraient la vérité.Croire, Je crois (Présent/Present), I believe, Je crois en toi., Tu crois à cette histoire?, Il/Elle croit tout., Nous croyons en l’avenir., Vous croyez en Dieu?, Ils/Elles croient aux fantômes.
Connaître, J’ai connu (Passé composé/Simple Past), I knew/met, J’ai connu Marie l’année dernière., Tu as connu cette histoire?, Il/Elle a connu beaucoup de gens., Nous avons connu des moments difficiles., Vous avez connu ce restaurant?, Ils/Elles ont connu la vérité.,,,,,,,,
Croire, Je croirai (Futur simple/Future), I will believe, Je croirai quand je verrai., Tu croiras à cette nouvelle?, Il/Elle croira en toi., Nous croirons en l’avenir., Vous croirez à cette théorie?, Ils/Elles croiront à cette idée.,,,,,,,,
Croire, Je croirais (Conditionnel présent/Would), I would believe, Je croirais si tu me montrais une preuve., Tu croirais à cette histoire?, Il/Elle croirait en ses rêves., Nous croirions en toi., Vous croiriez à cette théorie?, Ils/Elles croiraient à l’histoire.Réfléchir, Je réfléchis (Présent/Present), I think/reflect, Je réfléchis à ta proposition., Tu réfléchis longtemps?, Il/Elle réfléchit bien., Nous réfléchissons ensemble., Vous réfléchissez à l’avenir?, Ils/Elles réfléchissent vite.
Croire, Je croyais (Imparfait/Past Continuous), I believed, Je croyais à cette histoire quand j’étais enfant., Tu croyais tout ce qu’on te disait., Il/Elle croyait en ses rêves., Nous croyions en l’avenir., Vous croyiez à cette théorie?, Ils/Elles croyaient aux miracles.,,,,,,,,
Croire, J’ai cru (Passé composé/Simple Past), I believed, J’ai cru ton histoire., Tu as cru ce qu’il a dit?, Il/Elle a cru le mensonge., Nous avons cru en cette idée., Vous avez cru la nouvelle?, Ils/Elles ont cru à l’histoire.,,,,,,,,
Danser, Je dansais (Imparfait/Past Continuous), I was dancing, Je dansais souvent quand j’étais jeune., Tu dansais avec joie., Il/Elle dansait toute la nuit., Nous dansions ensemble., Vous dansiez le tango?, Ils/Elles dansaient avec plaisir.,,,,,,,,
Danser, Je danserai (Futur simple/Future), I will dance, Je danserai demain soir., Tu danseras souvent?, Il/Elle dansera avec joie., Nous danserons ensemble., Vous danserez le tango?, Ils/Elles danseront toute la nuit.,,,,,,,,
Danser, Je danserais (Conditionnel présent/Would), I would dance, Je danserais volontiers avec toi., Tu danserais souvent?, Il/Elle danserait avec joie., Nous danserions ensemble., Vous danseriez le tango?, Ils/Elles danseraient toute la nuit.Laisser, Je laisse (Présent/Present), I leave/let, Je laisse un message., Tu laisses la porte ouverte?, Il/Elle laisse tout., Nous laissons un pourboire., Vous laissez passer?, Ils/Elles laissent une chance.
Danser, J’ai dansé (Passé composé/Simple Past), I danced, J’ai dansé hier soir., Tu as dansé souvent?, Il/Elle a dansé avec joie., Nous avons dansé ensemble., Vous avez dansé le tango?, Ils/Elles ont dansé toute la nuit.,,,,,,,,
Demander, Je demandais (Imparfait/Past Continuous), I was asking, Je demandais de l’aide tous les jours., Tu demandais souvent le prix., Il/Elle demandait une faveur., Nous demandions des informations., Vous demandiez la route?, Ils/Elles demandaient pardon.,,,,,,,,
Demander, Je demanderai (Futur simple/Future), I will ask, Je demanderai de l’aide demain., Tu demanderas le prix?, Il/Elle demandera une faveur., Nous demanderons des informations., Vous demanderez la route?, Ils/Elles demanderont pardon.,,,,,,,,
Demander, Je demanderais (Conditionnel présent/Would), I would ask, Je demanderais de l’aide si j’en avais besoin., Tu demanderais le prix?, Il/Elle demanderait une faveur., Nous demanderions des informations., Vous demanderiez la route?, Ils/Elles demanderaient pardon.Avoir, J’ai (Présent/Present), I have, J’ai une nouvelle voiture., Tu as faim?, Il/Elle a du talent., Nous avons du temps., Vous avez raison., Ils/Elles ont beaucoup d’amis.
Demander, J’ai demandé (Passé composé/Simple Past), I asked, J’ai demandé de l’aide hier., Tu as demandé le prix?, Il/Elle a demandé une faveur., Nous avons demandé des informations., Vous avez demandé la route?, Ils/Elles ont demandé pardon.,,,,,,,,
Devenir, Je devenais (Imparfait/Past Continuous), I was becoming, Je devenais meilleur chaque jour., Tu devenais grand rapidement., Il/Elle devenait célèbre., Nous devenions amis., Vous deveniez plus forts?, Ils/Elles devenaient indépendants.,,,,,,,,
Devenir, Je deviendrai (Futur simple/Future), I will become, Je deviendrai meilleur., Tu deviendras grand., Il/Elle deviendra célèbre., Nous deviendrons amis., Vous deviendrez riches?, Ils/Elles deviendront forts.,,,,,,,,
Devenir, Je deviendrais (Conditionnel présent/Would), I would become, Je deviendrais professeur si je pouvais., Tu deviendrais grand., Il/Elle deviendrait célèbre., Nous deviendrions amis., Vous deviendriez riches?, Ils/Elles deviendraient forts.Louer, Je loue (Présent/Present), I rent, Je loue un appartement., Tu loues une voiture?, Il/Elle loue une maison., Nous louons un vélo., Vous louez ici?, Ils/Elles louent une villa.
Devenir, Je suis devenu (Passé composé/Simple Past), I became, Je suis devenu professeur., Tu es devenu grand., Il/Elle est devenu célèbre., Nous sommes devenus amis., Vous êtes devenus riches?, Ils/Elles sont devenus forts.,,,,,,,,
Devoir, Je devais (Imparfait/Past Continuous), I had to, Je devais travailler tous les jours., Tu devais venir hier., Il/Elle devait partir tôt., Nous devions finir le projet., Vous deviez étudier plus., Ils/Elles devaient appeler.,,,,,,,,
Devoir, Je devrai (Futur simple/Future), I will have to, Je devrai travailler demain., Tu devras venir., Il/Elle devra partir., Nous devrons finir., Vous devrez étudier., Ils/Elles devront appeler.,,,,,,,,
Devoir, Je devrais (Conditionnel présent/Would), I should, Je devrais travailler plus., Tu devrais venir., Il/Elle devrait partir., Nous devrions finir., Vous devriez étudier., Ils/Elles devraient appeler.Devenir, Je deviens (Présent/Present), I become, Je deviens meilleur., Tu deviens grand., Il/Elle devient célèbre., Nous devenons amis., Vous devenez riche?, Ils/Elles deviennent forts.
Devoir, J’ai dû (Passé composé/Simple Past), I had to, J’ai dû travailler tard., Tu as dû changer tes plans?, Il/Elle a dû partir., Nous avons dû finir vite., Vous avez dû étudier?, Ils/Elles ont dû appeler.,,,,,,,,
Dire, Je dirai (Futur simple/Future), I will say, Je dirai la vérité demain., Tu diras bonjour?, Il/Elle dira merci., Nous dirons au revoir., Vous direz quoi?, Ils/Elles diront bonsoir.,,,,,,,,
Dire, Je dirais (Conditionnel présent/Would), I would say, Je dirais la vérité si je pouvais., Tu dirais bonjour?, Il/Elle dirait merci., Nous dirions au revoir., Vous diriez quoi?, Ils/Elles diraient bonsoir.Battre, Je bats (Présent/Present), I beat, Je bats le record., Tu bats les œufs?, Il/Elle bat son adversaire., Nous battons le tambour., Vous battez le temps?, Ils/Elles battent fort.
Dire, Je disais (Imparfait/Past Continuous), I was saying, Je disais la vérité tous les jours., Tu disais bonjour., Il/Elle disait merci., Nous disions au revoir., Vous disiez quoi?, Ils/Elles disaient bonsoir.,,,,,,,,
Dire, J’ai dit (Passé composé/Simple Past), I said, J’ai dit la vérité hier., Tu as dit bonjour?, Il/Elle a dit merci., Nous avons dit au revoir., Vous avez dit quoi?, Ils/Elles ont dit bonsoir.,,,,,,,,
Donner, Je donnais (Imparfait/Past Continuous), I was giving, Je donnais des cours de français tous les mercredis., Tu donnais toujours ton avis pendant les discussions., Il/Elle donnait de l’argent à ses parents., Nous donnions à manger aux oiseaux dans le parc., Vous donniez des cadeaux à Noël., Ils/Elles donnaient des conseils à tout le monde.,,,,,,,,
Donner, Je donne (Présent/Present), I give, Je donne un cadeau à mon ami., Tu donnes trop de conseils., Il/Elle donne des cours de français., Nous donnons de l’argent à l’association., Vous donnez votre avis?, Ils/Elles donnent des livres aux enfants.,,,,,,,,
Donner, Je donnerai (Futur simple/Future), I will give, Je donnerai ma réponse demain., Tu donneras ton avis?, Il/Elle donnera un cours., Nous donnerons des cadeaux., Vous donnerez une fête?, Ils/Elles donneront leur accord.,,,,,,,,
Donner, Je donnerais (Conditionnel présent/Would), I would give, Je donnerais tout pour réussir., Tu donnerais ton avis honnêtement?, Il/Elle donnerait un cours gratuit., Nous donnerions de l’argent si on pouvait., Vous donneriez une chance?, Ils/Elles donneraient leur soutien.,,,,,,,,
Donner, J’ai donné (Passé composé/Simple Past), I gave, J’ai donné mon numéro à Marie., Tu as donné un beau cadeau., Il/Elle a donné une bonne réponse., Nous avons donné de l’argent à l’association., Vous avez donné votre avis?, Ils/Elles ont donné une fête surprise.,,,,,,,,
Dormir, Je dormais (Imparfait/Past Continuous), I was sleeping, Je dormais bien quand j’étais enfant., Tu dormais peu., Il/Elle dormait profondément., Nous dormions ici., Vous dormiez combien d’heures?, Ils/Elles dormaient tard.,,,,,,,,
Dormir, Je dormirai (Futur simple/Future), I will sleep, Je dormirai bien ce soir., Tu dormiras peu?, Il/Elle dormira profondément., Nous dormirons ici., Vous dormirez combien d’heures?, Ils/Elles dormiront tard.,,,,,,,,
Dormir, Je dormirais (Conditionnel présent/Would), I would sleep, Je dormirais mieux si j’étais moins stressé., Tu dormirais peu?, Il/Elle dormirait profondément., Nous dormirions ici., Vous dormiriez combien d’heures?, Ils/Elles dormiraient tard.Pouvoir, Je peux (Présent/Present), I can, Je peux aider., Tu peux venir?, Il/Elle peut parler., Nous pouvons partir., Vous pouvez prendre mon stylo?, Ils/Elles peuvent essayer.
Dormir, J’ai dormi (Passé composé/Simple Past), I slept, J’ai dormi 8 heures hier., Tu as dormi peu?, Il/Elle a dormi profondément., Nous avons dormi ici., Vous avez dormi combien d’heures?, Ils/Elles ont dormi tard.,,,,,,,,
Entendre, J’ai entendu (Passé composé/Simple Past), I heard, J’ai entendu une bonne nouvelle., Tu as entendu le bruit?, Il/Elle a entendu l’histoire., Nous avons entendu la musique., Vous avez entendu l’annonce?, Ils/Elles ont entendu tout.,,,,,,,,
Entendre, J’entendais (Imparfait/Past Continuous), I was hearing, J’entendais la pluie toute la nuit., Tu entendais souvent cette chanson., Il/Elle entendait mal avant., Nous entendions les oiseaux., Vous entendiez le professeur?, Ils/Elles entendaient tout.,,,,,,,,
Entendre, J’entendrai (Futur simple/Future), I will hear, J’entendrai la réponse demain., Tu entendras la nouvelle?, Il/Elle entendra mieux., Nous entendrons le concert., Vous entendrez l’info?, Ils/Elles entendront tout.,,,,,,,,
