cet, этот, тот, данный, указанный, конкретный, такой
onze, одиннадцать, десять, двенадцать, одиннадцатый, одиннадцать штук, одиннадцать единиц
douze, двенадцать, одиннадцать, тринадцать, двенадцатый, двенадцать штук, двенадцать единиц
treize, тринадцать, двенадцать, четырнадцать, тринадцатый, тринадцать штук, тринадцать единиц
quatorze, четырнадцать, тринадцать, пятнадцать, четырнадцатый, четырнадцать штук, четырнадцать единиц
quinze, пятнадцать, четырнадцать, шестнадцать, пятнадцатый, пятнадцать штук, пятнадцать единиц
seize, шестнадцать, пятнадцать, семнадцать, шестнадцатый, шестнадцать штук, шестнадцать единиц
vingt, двадцать, десять, тридцать, двадцатый, двадцать штук, двадцать единиц
trente, тридцать, двадцать, сорок, тридцатый, тридцать штук, тридцать единиц
quarante, сорок, тридцать, пятьдесят, сороковой, сорок штук, сорок единиц
cinquante, пятьдесят, сорок, шестьдесят, пятидесятый, пятьдесят штук, пятьдесят единиц
soixante, шестьдесят, пятьдесят, семьдесят, шестидесятый, шестьдесят штук, шестьдесят единиц
cent, сто, десять, тысяча, сотый, сто штук, сто единиц
mille, тысяча, сто, миллион, тысячный, тысяча штук, тысяча единиц
premier, первый, второй, третий, последний, начальный, стартовый
première, первая, вторая, третья, последняя, начальная, стартовая
deuxième, второй, первый, третий, следующий, последующий, второй по порядку
troisième, третий, второй, четвёртый, следующий, третий по порядку, последующий
dernier, последний, первый, финальный, предыдущий, крайний, завершающий
dernière, последняя, первая, финальная, предыдущая, крайняя, завершающая
lundi, понедельник, вторник, воскресенье, выходные, первый день недели, начало недели
mardi, вторник, понедельник, среда, выходные, второй день недели, следующий день
mercredi, среда, вторник, четверг, выходные, третий день недели, середина недели
jeudi, четверг, среда, пятница, выходные, четвёртый день недели, предпятница
vendredi, пятница, четверг, суббота, выходные, пятый день недели, конец рабочей недели
samedi, суббота, пятница, воскресенье, выходные, шестой день недели, первый выходной
dimanche, воскресенье, суббота, понедельник, выходные, седьмой день недели, последний выходной
janvier, январь, февраль, декабрь, месяц, первый месяц года, начало года
février, февраль, январь, март, месяц, второй месяц года, зимний месяц
mars, март, февраль, апрель, месяц, третий месяц года, весенний месяц
avril, апрель, март, май, месяц, четвёртый месяц года, весенний месяц
mai, май, апрель, июнь, месяц, пятый месяц года, весенний месяц
juin, июнь, май, июль, месяц, шестой месяц года, летний месяц
juillet, июль, июнь, август, месяц, седьмой месяц года, летний месяц
août, август, июль, сентябрь, месяц, восьмой месяц года, летний месяц
septembre, сентябрь, август, октябрь, месяц, девятый месяц года, осенний месяц
octobre, октябрь, сентябрь, ноябрь, месяц, десятый месяц года, осенний месяц
novembre, ноябрь, октябрь, декабрь, месяц, одиннадцатый месяц года, осенний месяц
décembre, декабрь, ноябрь, январь, месяц, двенадцатый месяц года, последний месяц
printemps, весна, лето, осень, сезон, весенний сезон, время расцвета
été, лето, весна, осень, сезон, летний сезон, жаркий период
automne, осень, лето, зима, сезон, осенний сезон, время увядания
hiver, зима, осень, весна, сезон, зимний сезон, холодный период
aujourd'hui, сегодня, вчера, завтра, сейчас, нынешний день, текущий день
hier, вчера, сегодня, завтра, на прошлой неделе, предыдущий день, минувший день
demain, завтра, вчера, сегодня, на следующей неделе, следующий день, будущий день
avant-hier, позавчера, вчера, завтра, на прошлой неделе, день до вчера, предвчера
après-demain, послезавтра, завтра, вчера, на следующей неделе, день после завтра, последзавтра
tôt, рано, поздно, скоро, сейчас, утреннее время, ранний час
tard, поздно, рано, скоро, сейчас, вечернее время, поздний час
bientôt, скоро, поздно, рано, сейчас, в ближайшее время, недолго
toujours, всегда, никогда, иногда, часто, постоянно, в любое время
jamais, никогда, всегда, иногда, часто, ни разу, ни в коем случае
souvent, часто, всегда, никогда, иногда, многократно, нередко
parfois, иногда, часто, всегда, никогда, изредка, время от времени
généralement, обычно, обычно, иногда, редко, в общем, как правило
habituellement, обычно, обычно, часто, иногда, по привычке, как всегда
rarement, редко, часто, иногда, никогда, изредка, нечасто
encore, ещё, снова, больше, ещё, дополнительно, вдобавок
déjà, уже, ещё, ещё, только, к настоящему моменту, уже сейчас
enfin, наконец, сначала, затем, сейчас, в конце концов, наконец-то
soudain, внезапно, наконец, постепенно, медленно, неожиданно, вдруг
immédiatement, немедленно, медленно, постепенно, позже, сразу же, тотчас
bien, хорошо, хороший, плохо, лучше, отлично, превосходно
mal, плохо, хорошо, хороший, хуже, неудовлетворительно, скверно
vite, быстро, медленно, быстро, быстро, стремительно, проворно
lentement, медленно, быстро, быстро, быстро, неторопливо, неспешно
rapidement, быстро, медленно, быстро, быстро, молниеносно, оперативно
beaucoup, много, много, мало, много, большое количество, значительное число
peu, мало, много, много, много, небольшое количество, немного
très, очень, много, действительно, слишком, весьма, крайне
trop, слишком, много, очень, так, чрезмерно, излишне
assez, достаточно, слишком, очень, много, достаточно много, в меру
plus, больше, самый, меньше, плюс, дополнительно, в большей степени
moins, меньше, наименьший, больше, минус, в меньшей степени, слабее
aussi, также, тоже, так, как, равным образом, вдобавок
si, так, если, да, си, настолько, таким образом
tant, так много, много, как, чем, в такой степени, настолько много
autant, столько же, так, больше, меньше, в равной мере, так же много
ici, здесь, там, где, сейчас, в этом месте, на этом месте
là, там, здесь, где, сейчас, в том месте, там дальше
là-bas, вон там, здесь, там, поблизости, в отдалении, далеко там
partout, везде, где-то, где угодно, нигде, повсюду, во всех местах
ailleurs, в другом месте, везде, где-то, где угодно, в ином месте, где-нибудь ещё
dedans, внутри, снаружи, в, на, во внутренней части, внутри помещения
dehors, снаружи, внутри, в, на, снаружи здания, на улице
dessus, сверху, над, на, сверху, на верхней стороне, поверх
dessous, снизу, под, сверху, внизу, на нижней стороне, под низом
devant, перед, позади, до, после, впереди, перед лицом
derrière, позади, перед, после, до, сзади, за спиной
ensemble, вместе, один, отдельно, врозь, сообща, в группе
seul, один, вместе, одинокий, только, в одиночестве, самостоятельно
simplement, просто, просто, только, просто, элементарно, без затей
exactement, точно, точно, просто, приблизительно, в точности, именно так
probablement, вероятно, возможно, наверняка, возможно, скорее всего, по всей видимости
certainement, наверняка, точно, вероятно, возможно, несомненно, без сомнения
peut-être, может быть, возможно, вероятно, наверняка, возможно быть, вероятно да
évidemment, очевидно, наверняка, ясно, очевидно, явно, само собой разумеется
naturellement, естественно, очевидно, нормально, обычно, по природе, само собой
normalement, нормально, обычно, естественно, обычно, как обычно, в норме
actuellement, сейчас, в настоящее время, фактически, сейчас, в данный момент, ныне
récemment, недавно, недавно, недавно, только, в недавнем прошлом, на днях
anciennement, раньше, раньше, в древности, старый, в прежние времена, когда-то давно
autrefois, когда-то, раньше, в прошлом, раньше, в старые времена, некогда
jadis, давно, когда-то, раньше, раньше, в давние времена, в старину
à, в, на, в, из, к, на
de, из, от, о, к, от, из
en, в, в, на, с, внутри, в
dans, в, внутри, в пределах, среди, внутри, в
sur, на, над, над, на, поверх, на
sous, под, ниже, под, под, под низом, ниже
avec, с, с, вдоль, рядом, вместе с, в компании
sans, без, с, кроме, минус, без наличия, исключая
pour, для, в, чтобы, из-за, ради, с целью
par, через, через, через, за, посредством, с помощью
chez, у кого-то, к, от, около, дома у, в гостях у
entre, между, среди, в пределах, через, посреди, между двумя
parmi, среди, посреди, в пределах, между, в числе, среди группы
pendant, во время, пока, для, на протяжении, в течение, во время
durant, во время, пока, для, на протяжении, в продолжение, во время
avant, до, до, раньше, раньше, перед тем, до момента
après, после, позади, позже, следующий, после того, вслед за
depuis, с, от, для, с, начиная с, с момента
vers, к, около, вокруг, около, по направлению к, около
contre, против, против, напротив, к, в противовес, против
jusqu'à, до, до, до, к, вплоть до, до самого
malgré, несмотря на, несмотря на, хотя, даже если, вопреки, несмотря
selon, согласно, на основе, согласно, по, в соответствии с, по словам
sauf, кроме, если не, но, исключая, за исключением, кроме как
concernant, относительно, касательно, о, относительно, по поводу, касательно
et, и, или, но, так, а также, и ещё
ou, или, и, либо, ни, либо, или же
mais, но, и, однако, ещё, однако же, но всё же
donc, итак, поэтому, таким образом, следовательно, следовательно, таким образом
car, потому что, для, поскольку, как, ибо, поскольку
ni, ни, ни, или, и, ни...ни, ни один
que, что, который, кто, что, что именно, которое
quand, когда, пока, как, если, в тот момент когда, когда именно
lorsque, когда, пока, как, если, в то время как, когда именно
puisque, поскольку, потому что, как, для, раз уж, поскольку
parce que, потому что, поскольку, как, для, потому что именно, поскольку
si, если, ли, так, да, в случае если, если только
comme, как, как, поскольку, как, подобно тому как, как будто
tandis que, в то время как, тогда как, когда, хотя, в то время как, тогда как
alors que, в то время как, тогда как, когда, хотя, в то время как, тогда как
bien que, хотя, даже если, хотя, несмотря на, хотя и, несмотря на то что
quoique, хотя, даже если, хотя, несмотря на, хотя бы, несмотря на
afin que, чтобы, чтобы, так, поэтому, с целью чтобы, для того чтобы
pour que, чтобы, чтобы, так, поэтому, для того чтобы, с тем чтобы
avant que, до того как, до, пока не, если не, прежде чем, до того момента
après que, после того как, когда, как только, как только, после того как, как только
dès que, как только, когда, как только, после, сразу как, как только
aussitôt que, как только, когда, как только, после, тотчас как, как только
chaque fois que, каждый раз когда, каждый раз, когда, если, всякий раз когда, каждый раз как
tant que, пока, пока, пока не, пока, до тех пор пока, пока
à condition que, при условии что, при условии что, если, если не, при условии если, с условием что
à moins que, если не, кроме как если, если, при условии что, разве что, если только не 
le bras, рука, конечность, предплечье, локоть, запястье, мышца
l'épaule, плечо, сустав, верхняя часть руки, лопатка, ключица, дельтовидная
le cou, шея, горло, затылок, позвоночник, ворот, шейный отдел
le dos, спина, позвоночник, лопатки, поясница, торс, задняя часть
la poitrine, грудь, торс, грудная клетка, бюст, верхняя часть тела, декольте
le ventre, живот, брюшная полость, талия, пресс, нижняя часть туловища, желудок
la hanche, бедро, таз, бок, поясница, тазобедренный сустав, верхняя часть ноги
la cuisse, бедро, нога, квадрицепс, мышца бедра, верхняя часть ноги, ляжка
le genou, колено, сустав, коленная чашечка, сгиб, нижняя часть ноги, сочленение
le mollet, икра, голень, задняя часть голени, мышца голени, нижняя часть ноги, камбаловидная
le cheveu, волос, прядь, локон, шевелюра, волосок, волосинка
les cheveux, волосы, причёска, шевелюра, локоны, пряди, волосяной покров
la barbe, борода, растительность на лице, щетина, усы с бородой, подбородок с волосами,facial hair
la moustache, усы, растительность над губой, щетина над губой, усики, волоски над губой, верхняя губа с волосами
le sourcil, бровь, надбровная дуга, волоски над глазом, линия бровей, надглазье, дуга брови
le cil, ресница, волосок на веке, реснички, защита глаза, волоски века, веко с ресницами
la paupière, веко, кожа глаза, верхнее веко, нижнее веко, складка кожи, прикрытие глаза
la pupille, зрачок, центр глаза, отверстие в глазу, чёрная точка глаза, глазное яблоко центр, расширение зрачка
la narine, ноздря, отверстие носа, носовая полость, дыхательный проход, бок носа, вход в нос
la joue, щека, сторона лица, скула, щёчная область, мягкая часть лица, боковая поверхность лица
le menton, подбородок, нижняя челюсть, выступ лица, нижняя часть лица, челюстная кость, конец челюсти
le front, лоб, передняя часть головы, надбровная область, верхняя часть лица, череп спереди, линия волос
la tempe, висок, боковая часть головы, область уха, бок черепа, височная область, сторона головы
la gorge, горло, глотка, шея спереди, голосовой аппарат, пищевод, дыхательное горло
le poumon, лёгкое, орган дыхания, дыхательный орган, грудная полость, респираторный орган, воздушный мешок
l'estomac, желудок, пищеварительный орган, брюшная полость, орган пищеварения, место переваривания, внутренний мешок
le foie, печень, фильтрующий орган, железа, детоксикационный орган, крупный орган, метаболический центр
le rein, почка, фильтрующий орган, парный орган, мочевыделительная система, очиститель крови, почечный орган
l'intestin, кишечник, пищеварительный тракт, тонкий кишечник, толстый кишечник, кишка, пищеварительная трубка
le cerveau, мозг, головной мозг, центр нервной системы, мыслительный орган, серое вещество, главный орган
la moelle, костный мозг, спинной мозг, внутренность кости, нервная ткань, мозговое вещество, сердцевина
l'os, кость, скелетная ткань, твёрдая ткань, опора тела, скелетный элемент, костная структура
la peau, кожа, кожный покров, дерма, эпидермис, внешний слой, поверхность тела
le muscle, мышца, мышечная ткань, мускул, сила мышц, сократительная ткань, двигательный орган
le nerf, нерв, нервное волокно, нервная ткань, проводник сигналов, нервный импульс, часть нервной системы
la veine, вена, кровеносный сосуд, венозный сосуд, возврат крови, синий сосуд, венозная сеть
l'artère, артерия, кровеносный сосуд, артериальный сосуд, подача крови, красный сосуд, магистральный сосуд
le sang, кровь, жидкость организма, красная жидкость, кровяная плазма, жизненная жидкость, циркулирующая кровь
la chair, плоть, мягкая ткань, мясо, мышечная масса, тело без костей, органическая ткань  le chat, кот, кошка, домашнее животное, мурлыка, пушистик, четвероногий друг
le chien, собака, пёс, домашний питомец, четвероногий друг, лающий друг, верный спутник
l'oiseau, птица, пернатое, крылатое существо, летающее животное, певчая птица, небесный житель
le poisson, рыба, водное животное, обитатель воды, чешуйчатое существо, плавающее создание, речной житель
le cheval, лошадь, конь, копытное животное, скакун, верховое животное, крупное млекопитающее
la vache, корова, бурёнка, рогатое животное, молочное животное, сельскохозяйственное животное, травоядное
le mouton, овца, баран, шерстяное животное, стадное животное, копытное, сельскохозяйственное копытное
la chèvre, коза, козочка, рогатое животное, прыгающее животное, молочное копытное, бородатое животное
le cochon, свинья, поросёнок, хрюкающее животное, розовое животное, сельскохозяйственное животное, копытное с пятачком
le lapin, кролик, зайчик, ушастое животное, прыгающее животное, пушистый грызун, длинноухий зверёк
le renard, лиса, лисица, хитрое животное, рыжее животное, лесной хищник, пушистый хищник
le loup, волк, серый хищник, лесной волк, стайное животное, дикий пёс, воющий хищник
l'ours, медведь, косолапый, лесной хозяин, бурый зверь, крупный хищник, мохнатый гигант
le singe, обезьяна, примат, прыгающее животное, древесный житель, умное животное, хвостатый примат
l'éléphant, слон, хоботное животное, крупный млекопитающий, серый гигант, животное с бивнями, африканский гигант
la girafe, жираф, длинношеее животное, пятнистое животное, высокое копытное, африканский житель, животное с длинной шеей
le lion, лев, царь зверей, гривастый хищник, саванный хищник, рычащий зверь, крупный кошачий
le tigre, тигр, полосатый хищник, лесной кот, крупный кошачий, рыже-чёрный хищник, азиатский хищник
le serpent, змея, пресмыкающееся, ползущее животное, ядовитое существо, чешуйчатое пресмыкающееся, извивающееся создание
la grenouille, лягушка, земноводное, прыгающее животное, зелёное земноводное, квакушка, болотное существо
la tortue, черепаха, панцирное животное, медлительное существо, рептилия с панцирем, долгожитель, сухопутная рептилия
le crocodile, крокодил, речной хищник, зубастая рептилия, водное пресмыкающееся, крупный хищник, панцирный хищник
l'aigle, орёл, хищная птица, царская птица, высоколетающая птица, пернатый хищник, птица с острым зрением
le canard, утка, водоплавающая птица, крякающая птица, домашняя птица, болотная птица, пернатый пловец
le coq, петух, домашняя птица, утренний крикун, птица с гребнем, сельскохозяйственная птица, кричащий петух
la poule, курица, домашняя птица, несушка, пернатая несушка, сельскохозяйственная птица, яйценосная птица
l'abeille, пчела, насекомое-труженик, медоносное насекомое, полосатое насекомое, летающее насекомое, жалящее насекомое
le papillon, бабочка, крылатое насекомое, цветочное насекомое, красивое насекомое, дневное насекомое, порхающее создание
la fourmi, муравей, трудолюбивое насекомое, общественное насекомое, маленькое насекомое, насекомое в колонии, ползающее насекомое
la mouche, муха, летающее насекомое, назойливое насекомое, комнатное насекомое, крылатый вредитель, жужжащее насекомое
le moustique, комар, кровососущее насекомое, летающий кровопийца, жалящее насекомое, вечернее насекомое, пищащее насекомое  la pomme, яблоко, фрукт, сочный фрукт, красный фрукт, осенний фрукт, хрустящий плод, садовый плод
la poire, груша, фрукт, сладкий фрукт, зелёный фрукт, сочный фрукт, осенний плод, грушевидный фрукт
la banane, банан, тропический фрукт, жёлтый фрукт, продолговатый фрукт, сладкий плод, мягкий фрукт, экзотический фрукт
l'orange, апельсин, цитрусовый фрукт, оранжевый фрукт, сочный цитрус, витаминный фрукт, яркий фрукт, кисло-сладкий плод
la fraise, клубника, ягода, красная ягода, летняя ягода, сладкая ягода, полевая ягода, ароматная ягода
la cerise, вишня, ягода, красная ягода, косточковая ягода, кисло-сладкая ягода, садовая ягода, летняя ягода
la pêche, персик, фрукт, сочный фрукт, пушистый фрукт, летний фрукт, косточковый фрукт, сладкий плод
le raisin, виноград, ягода, гроздь ягод, сладкая ягода, винная ягода, осенняя ягода, сочная гроздь
la framboise, малина, ягода, красная ягода, лесная ягода, сладкая ягода, летняя ягода, ароматная ягода
la myrtille, черника, ягода, синяя ягода, лесная ягода, мелкая ягода, полезная ягода, северная ягода
l'ananas, ананас, тропический фрукт, колючий фрукт, сладкий тропический плод, жёлтый тропический фрукт, экзотический фрукт, крупный фрукт
la mangue, манго, тропический фрукт, сладкий тропический плод, оранжевый фрукт, экзотический фрукт, сочный тропический плод, яркий фрукт
le citron, лимон, цитрусовый фрукт, кислый фрукт, жёлтый цитрус, витаминный фрукт, кисло-зелёный плод, освежающий фрукт
la tomate, помидор, овощ-фрукт, красный овощ, сочный овощ, салатный овощ, томатный плод, красный плод
la carotte, морковь, корнеплод, оранжевый овощ, сладкий корнеплод, хрустящий овощ, витаминный корнеплод, рыжий овощ
la pomme de terre, картофель, клубень, крахмалистый овощ, земляной плод, основной овощ, варёный овощ, корнеплод
l'oignon, лук, овощ, луковица, острый овощ, слёзный овощ, кухонный овощ, белый овощ
l'ail, чеснок, острый овощ, пряный овощ, луковичное растение, ароматный овощ, зубчик чеснока, сильнопахнущий овощ
le poireau, лук-порей, овощ, белый стебель, зелёный овощ, длинный овощ, мягкий лук, суповой овощ
le concombre, огурец, овощ, зелёный овощ, хрустящий овощ, свежий овощ, салатный овощ, водянистый овощ
la salade, салат, зелень, листовой овощ, свежая зелень, салатный лист, зелёный овощ, хрустящая зелень
le chou, капуста, овощ, кочанный овощ, листовой овощ, белокочанная капуста, квашеный овощ, круглый овощ
les épinards, шпинат, зелень, листовой овощ, железосодержащий овощ, зелёный лист, салатная зелень, полезная зелень
le haricot, фасоль, бобовый овощ, стручковый овощ, зелёная фасоль, боб, растение-боб
le petit pois, горошек, зелёный горошек, бобовый овощ, мелкий овощ, сладкий горошек, консервированный горошек, молодой горошек
l'aubergine, баклажан, овощ, фиолетовый овощ, тёмный овощ, продолговатый овощ, жареный овощ, средиземноморский овощ
le poivron, перец, сладкий перец, овощ, цветной перец, болгарский перец, хрустящий перец, овощной перец
le champignon, гриб, лесной гриб, съедобный гриб, шляпочный гриб, грибной продукт, лесной дар, зонтичный гриб  le pain, хлеб, буханка, выпечка, пшеничный продукт, каравай, свежий хлеб, мучное изделие
la baguette, багет, французский хлеб, длинный хлеб, хрустящий хлеб, тонкий батон, белый хлеб
le croissant, круассан, слоёная выпечка, масляный круассан, французская булочка, рогалик, завтрачный круассан
le fromage, сыр, молочный продукт, твёрдый сыр, мягкий сыр, выдержанный сыр, кисломолочный продукт, сырный кусок
le beurre, масло, сливочное масло, молочный жир, намазка, коровье масло, жировой продукт, желтоватый жир
le lait, молоко, коровье молоко, белая жидкость, молочный напиток, кальциевый продукт, свежее молоко, жидкий молочный продукт
le yaourt, йогурт, кисломолочный продукт, творожный продукт, пробиотический продукт, фруктовый йогурт, густой молочный продукт, заквашенное молоко
l'œuf, яйцо, куриное яйцо, белок и желток, овальный продукт, белковый продукт, яичная скорлупа, пищевой продукт
la viande, мясо, мясной продукт, животный белок, свежее мясо, красное мясо, кусковое мясо, белковая пища
le bœuf, говядина, говяжье мясо, красное мясо, мясо коровы, стейк, крупное мясо, мясной продукт
le porc, свинина, свиное мясо, розовое мясо, мясо свиньи, беконный продукт, жирное мясо, домашнее мясо
le poulet, курица, куриное мясо, белое мясо, птица, жареная курица, диетическое мясо, мясо птицы
le poisson, рыба, рыбный продукт, морская рыба, речная рыба, белковый продукт, чешуйчатая рыба, свежая рыба
le riz, рис, крупа, белый рис, злаковый продукт, варёный рис, зерновой продукт, азиатский злак
les pâtes, макароны, паста, итальянская паста, мучное изделие, лапша, тестовое изделие, варёные макароны
la soupe, суп, жидкое блюдо, горячий суп, бульон, первое блюдо, овощной суп, наваристый бульон
le sel, соль, поваренная соль, белый порошок, минеральная добавка, приправа, морская соль, кристаллическая соль
le poivre, перец, чёрный перец, пряность, острая приправа, молотый перец, специя, ароматная приправа
le sucre, сахар, сладкий порошок, белый сахар, тростниковый сахар, подсластитель, кристаллический сахар, сладкая добавка
le miel, мёд, пчелиный мёд, сладкий нектар, натуральный подсластитель, золотистый мёд, вязкий мёд, цветочный мёд
l'huile, масло, растительное масло, жидкий жир, оливковое масло, кулинарный жир, подсолнечное масло, жидкая основа
le vinaigre, уксус, кислый раствор, винный уксус, приправа, кислотная жидкость, бальзамический уксус, столовый уксус
le café, кофе, кофейный напиток, чёрный кофе, бодрящий напиток, зерновой напиток, утренний кофе, ароматный напиток
le thé, чай, чайный напиток, травяной чай, чёрный чай, зелёный чай, горячий напиток, заваренный чай
le jus, сок, фруктовый сок, свежевыжатый сок, жидкий напиток, витаминный сок, ягодный сок, натуральный сок
l'eau, вода, питьевая вода, чистая вода, жидкость, минеральная вода, прозрачная жидкость, жизненно важная жидкость
le vin, вино, винный напиток, красное вино, белое вино, алкогольный напиток, виноградный напиток, ферментированный напиток
la bière, пиво, пенный напиток, алкогольный напиток, светлое пиво, тёмное пиво, хмельной напиток, барный напиток
